family,value,topology,n_realizations,t10_mean,t10_sd,t50_mean,t50_sd,peak_infected_mean,peak_infected_sd,final_size_mean,final_size_sd,unique_exposed_fraction_mean,unique_exposed_fraction_sd,reached_50_mean,reached_50_sd,family_label
n,500.0,BA,20,4.1,0.6407232755171874,7.0,0.6488856845230502,366.8,13.60959413912035,0.9934000000000001,0.004592900700222605,0.9899999999999997,3.4171943677557405e-16,1.0,0.0,Network size (N)
n,500.0,ER,20,4.65,0.670820393249937,8.6,0.6805570473787206,361.05,10.845687961970002,0.9908999999999999,0.0031439164311914854,0.9880999999999999,0.0015183093090324977,1.0,0.0,Network size (N)
n,500.0,WS,20,5.85,1.1821033884786185,13.45,1.669383750149485,318.9,17.075374697283557,0.9994,0.0018467610337532792,0.9899999999999997,3.4171943677557405e-16,1.0,0.0,Network size (N)
n,1000.0,BA,20,4.6,1.1424811411549587,7.75,1.118033988749895,735.45,15.611989319952656,0.9950999999999999,0.002751076344384429,0.9950000000000001,1.1390647892519134e-16,1.0,0.0,Network size (N)
n,1000.0,ER,20,5.95,0.6863327411532597,9.85,0.7451598203705947,729.95,17.279360977463075,0.9908999999999999,0.0031606128652858683,0.9922999999999998,0.0014545753585442777,1.0,0.0,Network size (N)
n,1000.0,WS,20,8.15,1.1821033884786185,16.0,1.3377121081198773,626.4,23.07744398872266,1.0,0.0,0.9950000000000001,1.1390647892519134e-16,1.0,0.0,Network size (N)
n,2000.0,BA,20,5.45,0.8255779474818965,8.35,0.7451598203705947,1478.0,22.08357331878869,0.9951500000000001,0.0019337718800857828,0.9974999999999998,2.278129578503827e-16,1.0,0.0,Network size (N)
n,2000.0,ER,20,7.5,0.7608859102526822,11.5,0.7608859102526822,1455.0,22.0,0.9902999999999998,0.0024354833087846207,0.9949499999999999,0.001365939044644446,1.0,0.0,Network size (N)
n,2000.0,WS,20,10.7,0.9233805168766387,18.85,1.1821033884786185,1273.75,37.37558307941584,0.9998750000000001,0.00027505980211007874,0.9974999999999998,2.278129578503827e-16,1.0,0.0,Network size (N)
mean_degree,4.0,BA,20,6.15,1.3869694338832113,10.8,1.6091841672756186,632.65,23.120451188458556,0.9695000000000003,0.007756152057356936,0.9950000000000001,1.1390647892519134e-16,1.0,0.0,Mean degree
mean_degree,4.0,ER,20,8.75,1.292692009559488,15.35,1.2680278927697548,604.25,21.545240040924416,0.9505499999999998,0.006652858507122283,0.9729500000000002,0.005335827267779477,1.0,0.0,Mean degree
mean_degree,4.0,WS,20,14.2,3.1388901826835816,31.05,4.784569496115393,437.0,28.399406961932737,0.9845499999999999,0.008140056898805413,0.99185,0.004463595435355488,1.0,0.0,Mean degree
mean_degree,6.0,BA,20,4.6,0.5982430416161187,7.6,0.5026246899500346,737.95,15.782985509052061,0.9955,0.0023283154063783876,0.9950000000000001,1.1390647892519134e-16,1.0,0.0,Mean degree
mean_degree,6.0,ER,20,5.9,0.8522416262267903,9.85,0.8750939799154207,730.45,10.874765575210782,0.9907999999999999,0.0030192365713345858,0.9931500000000002,0.0015312533566021224,1.0,0.0,Mean degree
mean_degree,6.0,WS,20,8.35,0.9880869341680841,16.15,1.0894228312566054,641.0,25.51573302060804,0.9995499999999999,0.0006863327411532603,0.9950000000000001,1.1390647892519134e-16,1.0,0.0,Mean degree
mean_degree,10.0,BA,20,3.35,0.48936048492959283,5.3,0.5712405705774793,819.35,13.765995480855985,0.9998000000000001,0.0005231483637805974,0.9950000000000001,1.1390647892519134e-16,1.0,0.0,Mean degree
mean_degree,10.0,ER,20,4.1,0.44721359549995787,6.5,0.512989176042577,831.25,7.5245213171757035,0.9994,0.0007539370349250525,0.9949500000000002,0.00022360679774997914,1.0,0.0,Mean degree
mean_degree,10.0,WS,20,5.0,0.5619514869490163,9.4,0.6805570473787205,785.6,15.267440415541342,1.0,0.0,0.9950000000000001,1.1390647892519134e-16,1.0,0.0,Mean degree
ws_rewire,0.01,WS,20,10.65,2.1343062474478063,34.65,5.593934685278144,346.9,34.32185125665879,0.9981,0.006060224070896533,0.9937500000000001,0.004387482193696065,1.0,0.0,WS rewiring probability
ws_rewire,0.1,WS,20,8.3,1.0809352675491621,16.0,1.6543403837370223,640.85,22.71627054268418,0.9997,0.00057124057057748,0.9950000000000001,1.1390647892519134e-16,1.0,0.0,WS rewiring probability
ws_rewire,0.5,WS,20,6.45,0.6863327411532597,10.95,0.7591546545162482,743.1,14.753768474885536,0.9994500000000001,0.0008870412083230177,0.9950000000000001,1.1390647892519134e-16,1.0,0.0,WS rewiring probability
ba_m,2.0,BA,20,5.9,1.252366181526625,10.5,1.3178930553209385,633.15,23.378521406579477,0.9679499999999998,0.00798337087490716,0.9949000000000001,0.0003077935056255465,1.0,0.0,BA attachment parameter (m)
ba_m,3.0,BA,20,4.55,0.6863327411532597,7.4,0.6805570473787206,739.1,13.142538407380579,0.9953499999999998,0.002518876106938425,0.9950000000000001,1.1390647892519134e-16,1.0,0.0,BA attachment parameter (m)
ba_m,5.0,BA,20,3.4,0.5982430416161189,5.35,0.5871429486123998,827.95,13.12480576297377,0.9997499999999999,0.0004442616583193196,0.9950000000000001,1.1390647892519134e-16,1.0,0.0,BA attachment parameter (m)
sbm_mixing,0.02,SBM,20,5.95,0.6048053188292994,10.75,1.019545822516343,677.8,35.888130276413705,0.98985,0.0022542357790099133,0.99245,0.0011459310165698653,1.0,0.0,SBM mixing parameter
sbm_mixing,0.1,SBM,20,6.1,0.7181848464596079,10.25,1.118033988749895,716.35,23.337963199812222,0.9907999999999999,0.002587418953726913,0.9928999999999999,0.0010711528467275964,1.0,0.0,SBM mixing parameter
sbm_mixing,0.3,SBM,20,6.4,1.1424811411549587,10.2,1.2396943596157715,726.1,21.18067639693263,0.9908999999999999,0.002863564212655273,0.993,0.0013377121081198787,1.0,0.0,SBM mixing parameter
