family,family_label,value,topology,beta,n_realizations,rank1_strategy,rank1_mean_final_size,rank1_holm_p,rank1_significant_vs_random,rank2_strategy,rank2_mean_final_size,rank2_holm_p,rank2_significant_vs_random,random_mean_final_size,relative_change_pct,best_strategy,best_mean_final_size,best_significant_vs_random_holm,family_stable,top2_identical_across_family_range,stable_winner_strategies
ws_rewire,WS rewiring probability,0.01,WS,0.02,20,betweenness,0.0327,1.0,False,pagerank,0.0348,1.0,False,0.0427,-23.51,betweenness,0.0327,False,False,False,-
ws_rewire,WS rewiring probability,0.1,WS,0.02,20,collective_influence,0.057,0.2356,False,community_bridge,0.0636,0.2356,False,0.1187,-51.96,collective_influence,0.057,False,False,False,-
ws_rewire,WS rewiring probability,0.5,WS,0.02,20,collective_influence,0.465,1.0,False,degree,0.5009,1.0,False,0.5545,-16.15,collective_influence,0.465,False,False,False,-
ws_rewire,WS rewiring probability,0.01,WS,0.15,20,pagerank,0.6062,0.0,True,community_bridge,0.6485,0.0,True,0.944,-35.78,pagerank,0.6062,True,False,False,-
ws_rewire,WS rewiring probability,0.1,WS,0.15,20,degree,0.9464,0.0429,True,kcore,0.9464,0.1042,False,0.9493,-0.32,degree,0.9464,True,False,False,-
ws_rewire,WS rewiring probability,0.5,WS,0.15,20,pagerank,0.9473,0.0731,False,community_bridge,0.9477,0.0283,True,0.9489,-0.16,pagerank,0.9473,False,False,False,-
sbm_mixing,SBM mixing parameter,0.02,SBM,0.02,20,community_bridge,0.297,0.0,True,collective_influence,0.317,0.0005,True,0.5722,-48.1,community_bridge,0.297,True,False,False,-
sbm_mixing,SBM mixing parameter,0.05,SBM,0.02,20,collective_influence,0.3944,0.0539,False,degree,0.4092,0.2587,False,0.5573,-29.22,collective_influence,0.3944,False,False,False,-
sbm_mixing,SBM mixing parameter,0.15,SBM,0.02,20,degree,0.4439,0.072,False,kcore,0.4819,0.258,False,0.5963,-25.55,degree,0.4439,False,False,False,-
sbm_mixing,SBM mixing parameter,0.3,SBM,0.02,20,community_bridge,0.49,0.2347,False,eigenvector,0.5028,0.0479,True,0.5992,-18.22,community_bridge,0.49,False,False,False,-
sbm_mixing,SBM mixing parameter,0.02,SBM,0.15,20,community_bridge,0.9242,0.222,False,pagerank,0.932,0.0016,True,0.9384,-1.52,community_bridge,0.9242,False,True,False,pagerank
sbm_mixing,SBM mixing parameter,0.05,SBM,0.15,20,degree,0.934,0.0004,True,pagerank,0.9341,0.0003,True,0.9384,-0.48,degree,0.934,True,True,False,pagerank
sbm_mixing,SBM mixing parameter,0.15,SBM,0.15,20,pagerank,0.9319,0.0016,True,betweenness,0.9332,0.0009,True,0.9382,-0.67,pagerank,0.9319,True,True,False,pagerank
sbm_mixing,SBM mixing parameter,0.3,SBM,0.15,20,pagerank,0.9317,0.0001,True,betweenness,0.9335,0.0028,True,0.9385,-0.72,pagerank,0.9317,True,True,False,pagerank
seed_count,Initial spreader count,1.0,BA,0.02,20,degree,0.0135,0.0011,True,community_bridge,0.0181,0.0011,True,0.3417,-96.05,degree,0.0135,True,True,False,degree
seed_count,Initial spreader count,5.0,BA,0.02,20,degree,0.0619,0.0,True,kcore,0.0656,0.0,True,0.6043,-89.76,degree,0.0619,True,True,False,degree
