initial_spreaders,topology,beta,n_realizations,t10_mean,t10_sd,t50_mean,t50_sd,peak_infected_mean,peak_infected_sd,final_size_mean,final_size_sd,unique_exposed_fraction_mean,unique_exposed_fraction_sd,reached_50_mean,reached_50_sd
1,BA,0.02,20,50.3333,10.5712,86.1111,9.9555,94.0,106.1642,0.3067,0.3477,0.4512,0.5044,0.45,0.5104
5,BA,0.02,20,30.4211,12.0477,65.5263,14.9606,202.95,52.7441,0.64,0.1537,0.9466,0.2049,0.95,0.2236
10,BA,0.02,20,23.05,5.5864,56.95,10.0025,212.7,23.9563,0.6828,0.0279,0.9876,0.0017,1.0,0.0
1,ER,0.02,20,80.3,27.5764,140.4,30.7903,77.95,81.3449,0.353,0.3603,0.5001,0.498,0.5,0.513
5,ER,0.02,20,54.5263,16.4228,106.4737,22.0136,158.35,41.1087,0.6852,0.16,0.9369,0.2013,0.95,0.2236
10,ER,0.02,20,39.5,15.972,98.3,29.209,156.05,21.4537,0.7103,0.0384,0.9765,0.0056,1.0,0.0
1,WS,0.02,20,162.0,56.5066,,,11.5,12.8739,0.0514,0.0831,0.1076,0.157,0.0,0.0
5,WS,0.02,20,130.5,54.1051,,,29.5,20.6614,0.1875,0.1581,0.3613,0.2652,0.0,0.0
10,WS,0.02,20,71.8824,26.462,,,36.05,13.5432,0.2439,0.1289,0.4712,0.2035,0.0,0.0
1,BA,0.15,20,7.95,2.3278,11.0,2.3396,734.3,18.7732,0.9946,0.004,0.999,0.0,1.0,0.0
5,BA,0.15,20,4.85,0.8127,7.85,0.8127,741.2,13.3637,0.9954,0.0025,0.995,0.0,1.0,0.0
10,BA,0.15,20,3.8,0.6156,6.8,0.6959,740.5,15.6087,0.9938,0.0024,0.99,0.0,1.0,0.0
1,ER,0.15,20,10.25,3.1933,14.4,3.3779,727.15,15.779,0.9901,0.0043,0.9965,0.002,1.0,0.0
5,ER,0.15,20,5.8,0.8944,9.65,0.6708,728.9,16.7737,0.9906,0.0027,0.9926,0.0019,1.0,0.0
10,ER,0.15,20,4.65,0.4894,8.5,0.6882,738.45,10.9855,0.9903,0.0031,0.9875,0.0019,1.0,0.0
1,WS,0.15,20,15.2778,3.1957,23.0,3.43,575.4,197.9057,0.8997,0.3073,0.8997,0.3056,0.9,0.3078
5,WS,0.15,20,8.4,0.9403,16.15,1.04,629.6,24.6734,0.9997,0.0006,0.995,0.0,1.0,0.0
10,WS,0.15,20,5.65,0.7452,13.25,1.118,639.05,15.381,0.9998,0.0006,0.99,0.0,1.0,0.0
