behavior,topology,strategy,t10,t10,t50,t50,reached_50,reached_50,final_size,final_size,active_spreader_auc,active_spreader_auc,unique_exposed_fraction,unique_exposed_fraction,attempted_exposures,attempted_exposures
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
degree_correlated,BA,betweenness,16.35,6.899847443012208,30.25,11.737815631090552,1.0,0.0,0.8268000000000001,0.046422090930028,16488.9,1039.5698958805285,0.9243500000000001,0.006907471164958753,10172.2,2726.9982842138465
degree_correlated,BA,collective_influence,16.85,8.43722952782862,31.55,13.937737489126043,1.0,0.0,0.82935,0.03801145949094267,16696.0,1042.1070760218151,0.9212,0.005934732734637591,9798.85,2213.117479104033
degree_correlated,BA,community_bridge,16.4,6.047182902197648,32.1,12.77291542370232,1.0,0.0,0.8205,0.05480539735233538,16553.5,1187.432812503734,0.9174,0.009837629153836869,10021.2,2708.1308488950167
degree_correlated,BA,degree,17.2,6.54217089351845,33.8,13.367675072431455,1.0,0.0,0.80795,0.05568565439377682,16439.35,1254.528272635617,0.91415,0.012827909539667597,10129.3,2418.3002534403113
degree_correlated,BA,kcore,17.25,6.624317243865093,34.05,14.065542068623254,1.0,0.0,0.8230999999999999,0.048389755331605375,16556.55,1269.2459209683273,0.9179999999999999,0.008278062320946475,10063.65,2438.51631497947
degree_correlated,BA,random,4.5,2.259482940385861,6.2,2.3530495331087184,1.0,0.0,0.9314,0.013172539218908541,18668.1,647.4111115577343,0.94485,0.0003663475485325538,6331.9,1629.2500664254608
degree_correlated,ER,betweenness,6.2,0.8335087534664907,10.25,0.9104654680003265,1.0,0.0,0.9319000000000001,0.004778240151705258,18807.95,839.8691298429521,0.93865,0.0027390932037714842,6210.25,202.49233253840038
degree_correlated,ER,collective_influence,6.75,0.8506963092234006,11.15,1.0399898784932577,1.0,0.0,0.93355,0.0043706557378667,18909.7,471.0939229182715,0.9404499999999999,0.0018488972531299484,6475.25,208.11405653226723
degree_correlated,ER,community_bridge,6.4,0.9403246919632544,11.0,1.0760551736979407,1.0,0.0,0.9334,0.004172592277684094,18550.95,661.730623759436,0.94095,0.0020124611797498093,6385.75,183.95361972662107
degree_correlated,ER,degree,6.95,0.9445132413883326,11.5,0.9999999999999999,1.0,0.0,0.9337500000000001,0.005097729112581661,18905.8,714.1607956932829,0.9400999999999999,0.0021496633763403265,6472.05,251.61174665073102
degree_correlated,ER,kcore,6.4,1.0954451150103326,10.7,1.1742858972247998,1.0,0.0,0.932,0.0046679196312929576,18474.95,642.3539338369384,0.9400000000000001,0.002176428750330031,6425.95,134.3724106237666
degree_correlated,ER,random,5.8,1.6091841672756186,9.2,1.6091841672756186,1.0,0.0,0.9377000000000001,0.0027928480087537322,18764.4,709.2816529122226,0.9416,0.0018467610337532397,6003.5,185.7064746766847
degree_correlated,WS,betweenness,9.55,1.700619082322051,19.6,2.458069417888335,1.0,0.0,0.9474,0.003485307507387611,18857.4,674.2995898279227,0.94445,0.001761428845837204,7221.4,227.65379994978994
degree_correlated,WS,collective_influence,9.5,1.5727950313140981,20.7,1.8093325317714035,1.0,0.0,0.9466999999999999,0.00340433160608811,18871.35,465.52090517815844,0.9445499999999999,0.0016050905860647538,7549.1,257.3160865959464
degree_correlated,WS,community_bridge,10.2,1.4725559590832462,21.1,2.425739171122029,1.0,0.0,0.9478500000000001,0.0025807995497112005,18829.45,595.7687183710417,0.9446,0.001569445091341816,7263.8,137.25680886188272
degree_correlated,WS,degree,9.55,1.3945382182304158,19.7,1.657518754359248,1.0,0.0,0.9446,0.0057068748937252,18821.45,619.4431688812816,0.9435499999999999,0.003561120462350018,7367.2,205.70587075520677
degree_correlated,WS,kcore,9.15,1.598519051464429,19.45,1.9861361590045286,1.0,0.0,0.9445499999999999,0.004828370107472773,18832.45,779.9788441800332,0.9432,0.0026277867413271273,7403.25,183.6947912048392
degree_correlated,WS,random,8.35,1.4964871146156007,16.3,2.17884566251321,1.0,0.0,0.9481499999999998,0.0013869694338832117,19150.35,666.0553379096173,0.945,0.0,6887.9,206.21090379052498
homogeneous,BA,betweenness,8.5,0.9999999999999993,15.4,1.0954451150103321,1.0,0.0,0.8941000000000001,0.011893828563365837,17682.1,684.1939475724232,0.9310500000000002,0.005325954325159396,6274.55,144.94045056686667
homogeneous,BA,collective_influence,10.25,2.2912878474779195,17.75,2.2213082915965963,1.0,0.0,0.89055,0.009599753286303511,17685.1,604.2869569300577,0.9266500000000001,0.005508605707627414,6166.6,191.6752736435137
homogeneous,BA,community_bridge,9.2,1.5761378513048245,17.0,1.5217718205053645,1.0,0.0,0.89175,0.010051839318463597,17854.35,632.373496814726,0.9271,0.005466645271674013,6190.7,211.42551257693813
homogeneous,BA,degree,8.65,1.1367080817685318,15.95,1.276302224561664,1.0,0.0,0.88985,0.010569444540501514,17845.1,626.9082783579142,0.9255000000000001,0.005633546139445664,6145.55,193.421403866491
homogeneous,BA,kcore,9.2,1.3611140947574412,17.0,1.5559732104309978,1.0,0.0,0.8901,0.014297220929809739,17800.3,801.947176367752,0.9256500000000001,0.006019923062980984,6213.85,154.09678264341747
homogeneous,BA,random,5.05,1.2343760409722457,8.3,1.341640786499874,1.0,0.0,0.9418999999999998,0.0025526044491232976,18777.9,608.8358088230876,0.94485,0.0003663475485325538,6978.5,258.71270389738237
homogeneous,ER,betweenness,7.15,1.1821033884786185,11.9,1.3726654823065196,1.0,0.0,0.9332,0.005237516486596294,18810.75,622.0220739863785,0.9384499999999999,0.0026650762801366766,6888.9,222.78970494971023
