behavior,topology,metric,best_strategy,best_mean,random_mean
degree_correlated,BA,final_size,degree,0.80795,0.9314
degree_correlated,BA,active_spreader_auc,degree,16439.35,18668.1
degree_correlated,BA,unique_exposed_fraction,degree,0.91415,0.94485
degree_correlated,BA,attempted_exposures,random,6331.9,6331.9
degree_correlated,BA,reached_50,betweenness,1.0,1.0
degree_correlated,ER,final_size,betweenness,0.9319000000000001,0.9377000000000001
degree_correlated,ER,active_spreader_auc,kcore,18474.95,18764.4
degree_correlated,ER,unique_exposed_fraction,betweenness,0.93865,0.9416
degree_correlated,ER,attempted_exposures,random,6003.5,6003.5
degree_correlated,ER,reached_50,betweenness,1.0,1.0
degree_correlated,WS,final_size,kcore,0.9445499999999999,0.9481499999999998
degree_correlated,WS,active_spreader_auc,degree,18821.45,19150.35
degree_correlated,WS,unique_exposed_fraction,kcore,0.9432,0.945
degree_correlated,WS,attempted_exposures,random,6887.9,6887.9
degree_correlated,WS,reached_50,betweenness,1.0,1.0
homogeneous,BA,final_size,degree,0.88985,0.9418999999999998
homogeneous,BA,active_spreader_auc,betweenness,17682.1,18777.9
homogeneous,BA,unique_exposed_fraction,degree,0.9255000000000001,0.94485
homogeneous,BA,attempted_exposures,degree,6145.55,6978.5
homogeneous,BA,reached_50,betweenness,1.0,1.0
homogeneous,ER,final_size,degree,0.93205,0.93765
homogeneous,ER,active_spreader_auc,community_bridge,18496.65,18767.75
homogeneous,ER,unique_exposed_fraction,betweenness,0.9384499999999999,0.9416
homogeneous,ER,attempted_exposures,community_bridge,6798.0,6977.65
homogeneous,ER,reached_50,betweenness,1.0,1.0
homogeneous,WS,final_size,degree,0.9466999999999999,0.9494
homogeneous,WS,active_spreader_auc,community_bridge,18893.25,19148.45
homogeneous,WS,unique_exposed_fraction,degree,0.9436499999999999,0.945
homogeneous,WS,attempted_exposures,community_bridge,6977.0,7038.95
homogeneous,WS,reached_50,betweenness,1.0,1.0
moderate,BA,final_size,degree,0.8785999999999999,0.9378499999999999
moderate,BA,active_spreader_auc,kcore,17467.35,19019.65
moderate,BA,unique_exposed_fraction,kcore,0.9244,0.94485
moderate,BA,attempted_exposures,degree,6664.65,7411.9
moderate,BA,reached_50,betweenness,1.0,1.0
moderate,ER,final_size,kcore,0.9294,0.9369500000000001
moderate,ER,active_spreader_auc,community_bridge,18586.55,18827.7
moderate,ER,unique_exposed_fraction,betweenness,0.9384499999999999,0.9416499999999999
moderate,ER,attempted_exposures,community_bridge,7148.8,7381.35
moderate,ER,reached_50,betweenness,1.0,1.0
moderate,WS,final_size,kcore,0.9424999999999999,0.9484499999999999
moderate,WS,active_spreader_auc,kcore,18661.6,19018.55
moderate,WS,unique_exposed_fraction,degree,0.9416,0.945
moderate,WS,attempted_exposures,collective_influence,7356.55,7480.8
moderate,WS,reached_50,betweenness,1.0,1.0
strong,BA,final_size,kcore,0.8401500000000001,0.9234500000000001
strong,BA,active_spreader_auc,collective_influence,16848.7,18457.0
strong,BA,unique_exposed_fraction,degree,0.9211,0.9448000000000001
strong,BA,attempted_exposures,collective_influence,8469.15,9216.1
strong,BA,reached_50,betweenness,1.0,1.0
strong,ER,final_size,kcore,0.9171000000000001,0.9271499999999999
strong,ER,active_spreader_auc,betweenness,18226.5,18541.45
strong,ER,unique_exposed_fraction,betweenness,0.9381,0.9414999999999999
strong,ER,attempted_exposures,kcore,8769.5,8899.6
strong,ER,reached_50,betweenness,1.0,1.0
strong,WS,final_size,degree,0.9300499999999999,0.9440999999999999
strong,WS,active_spreader_auc,community_bridge,18456.55,18836.15
strong,WS,unique_exposed_fraction,degree,0.9381999999999999,0.9449
strong,WS,attempted_exposures,betweenness,9163.9,9321.8
strong,WS,reached_50,betweenness,1.0,1.0
