topology,metric,strategy,mean_difference,percent_difference,t,p,cohen_dz,wilcoxon_W,wilcoxon_p,holm_p,holm_wilcoxon_p
BA,active_spreader_auc,betweenness,-961.01,-5.091791703909831,-9.42907321238816,1.9256649888056793e-15,-0.9429073212388159,442.0,7.94906430424735e-13,3.8513299776113586e-15,1.58981286084947e-12
BA,active_spreader_auc,collective_influence,-1162.94,-6.16169264018574,-13.006482690389486,3.787377900164844e-23,-1.3006482690389487,141.5,2.5006595911719313e-16,2.272426740098906e-22,1.5003957547031588e-15
BA,active_spreader_auc,community_bridge,-1110.0,-5.881196648671618,-11.769470559910868,1.598972570286116e-20,-1.1769470559910868,226.0,2.6852285834278885e-15,6.395890281144464e-20,1.0740914333711554e-14
BA,active_spreader_auc,degree,-1159.38,-6.142830423907118,-12.12877139429885,2.724083222984054e-21,-1.2128771394298852,200.0,1.3051196164570922e-15,1.362041611492027e-20,6.5255980822854615e-15
BA,active_spreader_auc,eigenvector,-797.35,-4.224659592629112,-8.147903970251688,1.1560773128228696e-12,-0.8147903970251688,655.5,1.2932559600345397e-10,1.1560773128228696e-12,1.2932559600345397e-10
BA,active_spreader_auc,kcore,-1117.06,-5.918603178707313,-11.683579507667465,2.4447071581095818e-20,-1.1683579507667465,233.0,3.2567668817517765e-15,7.334121474328745e-20,1.0740914333711554e-14
BA,active_spreader_auc,pagerank,-1181.66,-6.260878226909284,-13.322948496635064,8.257822575517648e-24,-1.3322948496635065,130.5,1.824401861118515e-16,5.780475802862354e-23,1.2770813027829605e-15
BA,final_size,betweenness,-0.04711999999999995,-5.001379837391465,-45.20917226979143,6.497484935878531e-68,-4.520917226979143,0.0,3.8563125594877244e-18,1.2994969871757063e-67,2.6907473679826867e-17
BA,final_size,collective_influence,-0.05128999999999994,-5.443989216040073,-47.36124951803119,7.95789757747163e-70,-4.736124951803119,0.0,3.851526845681761e-18,3.183159030988652e-69,2.6907473679826867e-17
BA,final_size,community_bridge,-0.052999999999999936,-5.625490903687344,-46.07771920412842,1.0747860511377863e-68,-4.607771920412842,0.0,3.84848432333778e-18,3.2243581534133592e-68,2.6907473679826867e-17
BA,final_size,degree,-0.05583999999999993,-5.926932303054741,-56.38530263440823,4.6651642045203035e-77,-5.638530263440822,0.0,3.853701471786514e-18,3.2656149431642124e-76,2.6907473679826867e-17
BA,final_size,eigenvector,-0.03781999999999993,-4.014265395801042,-38.24980816040868,4.102288250048758e-61,-3.8249808160408687,0.0,3.845009944783931e-18,4.102288250048758e-61,2.6907473679826867e-17
BA,final_size,kcore,-0.05469999999999995,-5.8059311779565625,-50.89637354004466,8.446545318778593e-73,-5.089637354004466,0.0,3.843924811403838e-18,4.2232726593892966e-72,2.6907473679826867e-17
BA,final_size,pagerank,-0.05468999999999994,-5.804869764578506,-51.21418695537542,4.663742002888448e-73,-5.1214186955375425,0.0,3.84848432333778e-18,2.7982452017330686e-72,2.6907473679826867e-17
BA,unique_exposed_fraction,betweenness,-0.01612999999999991,-1.7068963692737393,-35.78594237388701,1.9252989953046347e-58,-3.5785942373887014,0.0,3.66361237639806e-18,3.8505979906092695e-58,2.5609027138017937e-17
BA,unique_exposed_fraction,collective_influence,-0.019169999999999906,-2.0285928951629018,-39.65041257465753,1.4475286648694567e-62,-3.9650412574657525,0.0,3.6584324482882764e-18,7.2376433243472835e-62,2.5609027138017937e-17
BA,unique_exposed_fraction,community_bridge,-0.018929999999999905,-2.0031958010137574,-39.42410717670422,2.4672485557208883e-62,-3.9424107176704215,0.0,3.666723669868097e-18,9.868994222883553e-62,2.5609027138017937e-17
BA,unique_exposed_fraction,degree,-0.020589999999999907,-2.17885903554534,-43.85586317831064,1.1426129066886226e-66,-4.385586317831065,0.0,3.705931596941765e-18,7.998290346820358e-66,2.5609027138017937e-17
BA,unique_exposed_fraction,eigenvector,-0.012449999999999916,-1.3174742589868589,-28.79473391676493,6.51864795152349e-50,-2.879473391676493,0.0,3.704674163783579e-18,6.51864795152349e-50,2.5609027138017937e-17
BA,unique_exposed_fraction,kcore,-0.020149999999999908,-2.1322976962719085,-38.66494850220038,1.5056676323748232e-61,-3.8664948502200382,0.0,3.7644256238083476e-18,4.517002897124469e-61,2.5609027138017937e-17
BA,unique_exposed_fraction,pagerank,-0.020399999999999908,-2.158753002677267,-40.023243635469896,6.048254634800919e-63,-4.00232436354699,0.0,3.662783120925717e-18,3.628952780880551e-62,2.5609027138017937e-17
BA,attempted_exposures,betweenness,-710.23,-10.194698750907897,-27.362336642137517,5.82699414691644e-48,-2.7362336642137515,0.0,3.895460925389839e-18,1.165398829383288e-47,2.7255922854374276e-17
BA,attempted_exposures,collective_influence,-795.21,-11.414508530630172,-27.576643533096455,2.941248283049021e-48,-2.757664353309645,0.0,3.895460925389839e-18,8.823744849147064e-48,2.7255922854374276e-17
BA,attempted_exposures,community_bridge,-776.66,-11.148240333244338,-31.94782259821431,5.98169848835836e-54,-3.194782259821431,1.0,4.0154765914850665e-18,3.8354087500151757e-53,2.7255922854374276e-17
BA,attempted_exposures,degree,-807.74,-11.594365162071925,-29.980852109887916,1.8006194203287497e-51,-2.998085210988792,0.0,3.893703264910611e-18,7.202477681314999e-51,2.7255922854374276e-17
BA,attempted_exposures,eigenvector,-654.93,-9.400918087002953,-26.20790875920784,2.4897362365681536e-46,-2.620790875920784,1.0,4.0154765914850665e-18,2.4897362365681536e-46,2.7255922854374276e-17
BA,attempted_exposures,kcore,-817.56,-11.735322234758119,-31.978870618499204,5.479155357164537e-54,-3.197887061849921,0.0,3.895460925389839e-18,3.8354087500151757e-53,2.7255922854374276e-17
BA,attempted_exposures,pagerank,-812.38,-11.660968096620188,-30.444304357212932,4.568534387079091e-52,-3.044430435721293,0.0,3.895241176705637e-18,2.2842671935395455e-51,2.7255922854374276e-17
BA,peak_infected,betweenness,-138.98,-20.24295036122116,-56.84084904971191,2.1535828132931114e-77,-5.684084904971193,0.0,3.873325551995558e-18,1.2921496879758667e-76,2.7113278863968904e-17
BA,peak_infected,collective_influence,-150.02,-21.850967140526688,-54.78695268848511,7.366102597695857e-76,-5.4786952688485115,0.0,3.884926233395865e-18,2.2497255825097564e-75,2.7113278863968904e-17
BA,peak_infected,community_bridge,-155.64,-22.669540899557212,-52.046440897589584,1.0005411247434004e-73,-5.204644089758959,0.0,3.880982690955953e-18,2.0010822494868008e-73,2.7113278863968904e-17
BA,peak_infected,degree,-157.32,-22.914239105103707,-61.12561561130182,1.9689572087032393e-80,-6.112561561130182,0.0,3.881201677059062e-18,1.3782700460922676e-79,2.7113278863968904e-17
BA,peak_infected,eigenvector,-119.13,-17.351724539734327,-42.29937099213675,3.416883275810859e-65,-4.229937099213675,0.0,3.8737627167230816e-18,3.416883275810859e-65,2.7113278863968904e-17
BA,peak_infected,kcore,-157.31,-22.91278256816593,-54.941332750706295,5.624313956274391e-76,-5.49413327507063,0.0,3.875730536868386e-18,2.2497255825097564e-75,2.7113278863968904e-17
BA,peak_infected,pagerank,-154.89,-22.560300629223956,-56.35260714068071,4.932410337066722e-77,-5.635260714068071,0.0,3.8831730791467485e-18,2.4662051685333612e-76,2.7113278863968904e-17
ER,active_spreader_auc,betweenness,-241.79,-1.2822851712276824,-2.9068943055690992,0.004505049438236156,-0.29068943055690993,1696.5,0.006583744740178316,0.0315353460676531,0.04608621318124821
ER,active_spreader_auc,collective_influence,-103.85,-0.5507478184870954,-1.1365546947774423,0.25846814255027023,-0.11365546947774423,2208.5,0.2764929567551211,0.5169362851005405,0.5529859135102422
ER,active_spreader_auc,community_bridge,-7.66,-0.040623286370834386,-0.10418443830914402,0.9172337584854974,-0.010418443830914403,2478.5,0.872973200648038,0.9172337584854974,0.872973200648038
ER,active_spreader_auc,degree,-203.48,-1.0791157063625825,-2.235426069251298,0.027635823356080832,-0.22354260692512984,1880.0,0.02657351499406241,0.13817911678040415,0.13286757497031207
ER,active_spreader_auc,eigenvector,-175.05,-0.928342856294329,-2.1967526379815614,0.030371269864693816,-0.21967526379815613,1968.5,0.055692588049856884,0.13817911678040415,0.22277035219942753
ER,active_spreader_auc,kcore,-238.78,-1.2663222349383596,-2.8917096628159142,0.004710457445305627,-0.2891709662815914,1795.0,0.012073771073941053,0.0315353460676531,0.07244262644364632
ER,active_spreader_auc,pagerank,-170.56,-0.9045310343876649,-1.9454318940045403,0.05455935532406782,-0.19454318940045404,2107.0,0.1506549497401903,0.16367806597220347,0.4519648492205709
