topology,metric,F,df1,df2,p,partial_eta2
BA,active_spreader_auc,36.268750656723796,7,693,2.7554998950126847e-43,0.26812364630146
BA,final_size,541.2516891552083,7,693,5.475307363416267e-276,0.8453733091581105
BA,unique_exposed_fraction,502.87112713133723,7,693,1.0672755341211365e-266,0.8355129602713162
BA,attempted_exposures,249.86927480834433,7,693,8.452298657947532e-185,0.7162260848153312
BA,peak_infected,743.236324438788,7,693,0.0,0.8824557940243587
ER,active_spreader_auc,2.5638579645050292,7,693,0.01299197032585579,0.02524380243020167
ER,final_size,21.487797994340703,7,693,2.609356818981453e-26,0.17834003402859083
ER,unique_exposed_fraction,63.07645355924459,7,693,4.296037379609894e-70,0.3891771579033715
ER,attempted_exposures,7.8187019778839995,7,693,3.9404265598836175e-09,0.07319600250808891
ER,peak_infected,30.900695911008828,7,693,2.5426785666083008e-37,0.23787937157917916
WS,active_spreader_auc,0.31120940835848293,7,693,0.9490283336091675,0.003133678566724716
WS,final_size,11.806663439334335,7,693,2.977908306131185e-14,0.10655192632705142
WS,unique_exposed_fraction,10.34747455531142,7,693,2.206221519849116e-12,0.0946292961716033
WS,attempted_exposures,1.658216445282937,7,693,0.11625787326951985,0.01647373164200988
WS,peak_infected,64.52496378110503,7,693,2.0371611116604324e-71,0.39458784939697844
