topology,strategy,fraction,t10,t10,t10,t50,t50,t50,reached_50,reached_50,reached_50,peak_infected,peak_infected,peak_infected,final_size,final_size,final_size,active_spreader_auc,active_spreader_auc,active_spreader_auc,unique_exposed_fraction,unique_exposed_fraction,unique_exposed_fraction,attempted_exposures,attempted_exposures,attempted_exposures,repeat_exposures,repeat_exposures,repeat_exposures
,,,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median
BA,betweenness,0.01,6.12,1.0178210038899749,6.0,10.33,1.1014682579322577,10.0,1.0,0.0,1.0,679.77,17.45288318052728,679.0,0.97474,0.004375367228455034,0.975,19481.66,704.2169118885882,19443.5,0.9843,0.0008102873913406632,0.984,7057.06,193.6251100253353,7037.0,6072.76,193.70529109443487,6052.5
BA,betweenness,0.05,8.87,1.8403721626262706,9.0,16.02,1.922645483849182,16.0,1.0,0.0,1.0,547.58,20.340624624160636,547.0,0.8950199999999999,0.009955436056281375,0.894,17912.7,712.2027361459221,17974.0,0.9288600000000001,0.00451265336626251,0.9295,6256.43,202.6333831820365,6251.5,5327.57,201.63659956175675,5327.5
BA,betweenness,0.1,13.04,3.1747743099615637,12.0,24.41,3.7580754799672818,24.0,1.0,0.0,1.0,419.69,25.638786510624353,419.0,0.78659,0.016195831238159715,0.7865,15793.18,655.2661635171654,15752.0,0.84101,0.01062729000871308,0.8414999999999999,5359.24,182.33153951807228,5359.5,4518.23,178.69769376680765,4524.0
BA,collective_influence,0.01,6.08,1.0413666234542207,6.0,10.26,1.2112269428437872,10.0,1.0,0.0,1.0,679.1,20.308976967207023,679.5,0.97517,0.004958524951734127,0.976,19556.22,588.3545721979739,19607.0,0.98419,0.0008372031359885616,0.984,7073.61,212.38710108448407,7117.5,6089.42,212.28245810759336,6133.0
BA,collective_influence,0.05,9.13,1.6308577404841198,9.0,16.45,1.8715034738213154,16.0,1.0,0.0,1.0,536.54,22.177620897807518,536.5,0.89085,0.010154737163939179,0.891,17710.77,598.5919143281083,17640.0,0.9258200000000001,0.00483334378264284,0.926,6171.45,175.99359348991948,6184.5,5245.63,175.29211723188345,5257.5
BA,collective_influence,0.1,13.9,2.9111419537266596,13.0,27.04,3.378242923847432,27.0,1.0,0.0,1.0,386.8,23.761015520929625,386.5,0.7640300000000001,0.019047232625950462,0.766,15268.62,679.2934799622261,15170.0,0.82377,0.013338525504202557,0.824,5194.08,200.8357125472047,5189.5,4370.31,192.19753595788595,4369.0
BA,community_bridge,0.01,6.14,1.2062128729828305,6.0,10.32,1.3399834161494517,10.0,1.0,0.0,1.0,679.77,17.834171603067997,680.5,0.97454,0.004852199334718057,0.975,19515.04,565.4455992016963,19520.5,0.98419,0.0008491826135238395,0.984,7031.96,176.16813135482397,7033.5,6047.77,176.07240561826265,6048.5
BA,community_bridge,0.05,9.54,1.8932095563466882,9.0,17.17,2.2113344387495983,17.0,1.0,0.0,1.0,530.92,23.779152230642723,529.0,0.88914,0.011103753119253587,0.8895,17763.71,597.1941006393002,17749.0,0.9260600000000001,0.004800715434898099,0.926,6190.0,172.795611148904,6188.0,5263.94,172.05489023135982,5261.0
BA,community_bridge,0.1,14.59,4.594891761840566,14.0,28.5,5.435573065046089,28.0,1.0,0.0,1.0,379.14,29.951482653306368,377.0,0.76298,0.018280076917814435,0.763,15435.73,699.9701992935056,15340.5,0.82306,0.012091252368484571,0.823,5154.87,170.06158450764988,5137.0,4331.81,164.40530693835578,4320.0
