topology,trial,strategy,fraction,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction,remaining_nodes,remaining_edges,components_after,lcc_fraction_original_n,incident_edges_blocked,incident_edge_fraction,cross_community_edges_blocked,approx_mean_path_after,protected_mean_degree
BA,0,betweenness,0.01,8.0,12.0,1.0,1.0,660.0,0.972,18370.0,0.982,6896.0,5914.0,967.0,137.0,0.01,990,2384,4,0.987,607,0.2029421598127716,398,2.9157894736842107,62.9
BA,0,betweenness,0.05,6.0,13.0,1.0,1.0,546.0,0.894,17616.0,0.926,6011.0,5085.0,889.0,169.0,0.05,950,1700,15,0.934,1291,0.4316282179872952,822,4.1,28.42
BA,0,betweenness,0.1,11.0,23.0,1.0,1.0,389.0,0.776,15788.0,0.832,5509.0,4677.0,771.0,197.0,0.1,900,1290,36,0.858,1701,0.5687061183550652,1052,5.621052631578947,19.58
BA,0,collective_influence,0.01,6.0,10.0,1.0,1.0,673.0,0.978,19462.0,0.983,7180.0,6197.0,973.0,154.0,0.01,990,2371,3,0.988,620,0.207288532263457,409,2.9526315789473685,64.0
BA,0,collective_influence,0.05,8.0,15.0,1.0,1.0,520.0,0.882,16837.0,0.92,5864.0,4944.0,877.0,135.0,0.05,950,1638,20,0.928,1353,0.4523570712136409,875,4.636842105263158,29.76
BA,0,collective_influence,0.1,13.0,25.0,1.0,1.0,412.0,0.781,15745.0,0.824,4929.0,4105.0,776.0,175.0,0.1,900,1206,52,0.84,1785,0.59679037111334,1111,6.589473684210526,20.65
BA,0,community_bridge,0.01,6.0,10.0,1.0,1.0,696.0,0.977,20161.0,0.983,7013.0,6030.0,972.0,143.0,0.01,990,2375,3,0.988,616,0.2059511868940153,421,2.773684210526316,63.2
BA,0,community_bridge,0.05,10.0,19.0,1.0,1.0,512.0,0.886,17716.0,0.92,6136.0,5216.0,881.0,165.0,0.05,950,1619,21,0.928,1372,0.4587094617184888,902,4.747368421052632,29.96
BA,0,community_bridge,0.1,19.0,33.0,1.0,1.0,373.0,0.737,14672.0,0.802,5048.0,4246.0,732.0,168.0,0.1,900,1183,53,0.837,1808,0.6044801069876296,1153,6.694736842105264,20.8
BA,0,degree,0.01,6.0,11.0,1.0,1.0,629.0,0.965,18904.0,0.983,7304.0,6321.0,960.0,137.0,0.01,990,2368,3,0.988,623,0.2082915412905382,412,2.931578947368421,64.2
BA,0,degree,0.05,11.0,20.0,1.0,1.0,486.0,0.875,16575.0,0.919,6212.0,5293.0,870.0,154.0,0.05,950,1613,20,0.929,1378,0.4607154797726512,899,4.747368421052632,30.1
BA,0,degree,0.1,13.0,30.0,1.0,1.0,344.0,0.702,13546.0,0.789,5053.0,4264.0,697.0,225.0,0.1,900,1167,55,0.837,1824,0.6098294884653962,1147,6.910526315789474,20.97
