family,beta,gamma,initial_spreaders,topology,t10,t10,t50,t50,reached_50,reached_50,final_size,final_size,active_spreader_auc,active_spreader_auc,unique_exposed_fraction,unique_exposed_fraction,attempted_exposures,attempted_exposures
,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
beta_gamma,0.005,0.05,5,BA,132.0,,,,0.0,0.0,0.02715,0.029782147602036253,554.1,666.9174098634307,0.18775,0.19698781020261394,4458.95,5641.3745196585405
beta_gamma,0.005,0.05,5,ER,,,,,0.0,0.0,0.01335,0.00939918809483592,264.5,239.92202680739513,0.07785,0.048337927791309944,1437.25,1223.3289300317522
beta_gamma,0.005,0.05,5,WS,,,,,0.0,0.0,0.0099,0.0032751054623437214,198.15,107.88603880215943,0.0416,0.006961548527069019,925.65,411.3411025311948
beta_gamma,0.005,0.1,5,BA,,,,,0.0,0.0,0.0144,0.01789560369417437,160.0,236.49012441826915,0.11334999999999999,0.15705020149453383,1630.05,3041.8939473364458
beta_gamma,0.005,0.1,5,ER,,,,,0.0,0.0,0.0063,0.002129986409642831,62.15,43.533743718008715,0.03485,0.01357736118846756,337.4,228.82040762870872
beta_gamma,0.005,0.1,5,WS,,,,,0.0,0.0,0.00685,0.0018144159564878982,62.65,30.40996201039528,0.0347,0.005212333551551701,336.8,146.35846405315957
beta_gamma,0.01,0.05,5,BA,68.35714285714286,27.803173982775483,,,0.0,0.0,0.24275000000000002,0.1559162646388996,4905.65,3235.678278766944,0.6837,0.38878990402746344,23764.8,15486.614871185408
beta_gamma,0.01,0.05,5,ER,188.0,37.744756810273216,,,0.0,0.0,0.05475,0.05461239014999011,1079.7,1088.7089940311002,0.2394,0.20722258564162352,5033.85,5166.528308815261
beta_gamma,0.01,0.05,5,WS,,,,,0.0,0.0,0.017499999999999998,0.00892954881868413,346.75,223.02180091688462,0.05620000000000001,0.01970466148429164,1283.65,715.0755775293597
beta_gamma,0.01,0.1,5,BA,50.0,,,,0.0,0.0,0.02645,0.03072197053712881,273.6,341.3709820245725,0.1711,0.19759685166893143,2066.2,2876.234665779477
beta_gamma,0.01,0.1,5,ER,,,,,0.0,0.0,0.0093,0.0034807742635345096,83.45,43.70532305289477,0.054349999999999996,0.02448689230459517,467.95,268.61839005117315
beta_gamma,0.01,0.1,5,WS,,,,,0.0,0.0,0.0097,0.004079473650259049,100.75,65.36043789713517,0.0397,0.009857404377047314,482.0,273.4289092635463
beta_gamma,0.02,0.05,5,BA,25.55,9.005699949418002,61.75,12.644428771097902,1.0,0.0,0.6675,0.030615613491708514,13389.45,809.8819585853885,0.99225,0.002468219046834781,33467.8,1505.0698392608347
beta_gamma,0.02,0.05,5,ER,54.63157894736842,19.49133860723153,113.26315789473684,23.678030382762355,0.95,0.22360679774997894,0.6663,0.15427627303332367,13384.1,3185.3184571851225,0.9359,0.19349769480471038,33249.95,7665.171055701099
beta_gamma,0.02,0.05,5,WS,140.46153846153845,59.571547157760065,,,0.0,0.0,0.18545,0.13190725410003243,3781.45,2778.403905217223,0.36685,0.21844095312005943,9261.9,6479.659387571802
beta_gamma,0.02,0.1,5,BA,31.1875,15.41954928005355,,,0.0,0.0,0.28300000000000003,0.1442165768995769,2827.55,1471.6638086837202,0.75835,0.36567303125808126,13717.25,6993.733193855918
beta_gamma,0.02,0.1,5,ER,73.4,11.238327277669041,,,0.0,0.0,0.0849,0.08941323344891108,858.0,957.6290898276903,0.32880000000000004,0.2614080496485383,3856.45,3962.229362831512
beta_gamma,0.02,0.1,5,WS,,,,,0.0,0.0,0.0169,0.01276467164110629,156.2,150.47594667027613,0.055299999999999995,0.02804901724519154,602.3,456.32399616246806
