beta,topology,strategy,t10,t10,t50,t50,reached_50,reached_50,final_size,final_size,active_spreader_auc,active_spreader_auc,unique_exposed_fraction,unique_exposed_fraction,attempted_exposures,attempted_exposures
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
0.01,BA,betweenness,,,,,0.0,0.0,0.014599999999999998,0.009730040298504746,275.95,233.67171641564067,0.05885,0.042164184102774144,924.8,759.6442103483639
0.01,BA,collective_influence,,,,,0.0,0.0,0.013550000000000001,0.006621138397904889,298.7,181.11819345388798,0.049,0.027413020340898705,908.35,610.256052817176
0.01,BA,community_bridge,,,,,0.0,0.0,0.014299999999999998,0.010726749642586839,312.25,275.3888877091525,0.05025,0.04097736859343344,923.6,926.3555870637422
0.01,BA,degree,,,,,0.0,0.0,0.016550000000000002,0.01494366614638914,371.45,343.2977033973498,0.058499999999999996,0.05648334640451672,1176.6,1272.9000208806247
0.01,BA,kcore,,,,,0.0,0.0,0.01315,0.006830851068189782,251.9,154.03618850264067,0.0492,0.026912333310408564,765.15,473.0074301185643
0.01,BA,random,89.84615384615384,33.88914810045185,,,0.0,0.0,0.1795,0.1321014363043953,3564.85,2732.927277230695,0.57725,0.3500608781641454,17561.7,13047.417748553282
0.01,ER,betweenness,182.66666666666666,69.29165413910489,,,0.0,0.0,0.046799999999999994,0.050969134106623265,970.1,1090.3514595134716,0.1925,0.18579006262020864,3983.65,4397.435045150273
0.01,ER,collective_influence,209.0,24.041630560342615,,,0.0,0.0,0.0324,0.0457146757502158,645.55,1051.2129572921688,0.1288,0.15487978360141474,2570.1,3916.527394462976
0.01,ER,community_bridge,,,,,0.0,0.0,0.0249,0.022573622240407758,504.4,499.8438071827512,0.11305000000000001,0.09706128015466908,2135.2,2056.7669724466523
0.01,ER,degree,218.0,69.29646455628166,,,0.0,0.0,0.03615,0.03572596726251236,723.05,795.5660993412506,0.15,0.13000323882605064,2864.3,2965.1402043712783
0.01,ER,kcore,329.0,117.37972567696688,,,0.0,0.0,0.03265,0.03019633125153835,698.45,696.1822564605667,0.1392,0.11682672729528255,2806.35,2816.8066330322954
0.01,ER,random,211.6,88.95111016732731,,,0.0,0.0,0.056100000000000004,0.04892195718424236,1180.85,1074.695025283183,0.2448,0.18769981633616897,5214.1,4656.9540745675795
0.01,WS,betweenness,,,,,0.0,0.0,0.0203,0.011934470199693343,421.35,294.6373819495844,0.05785,0.02343922712934564,1473.4,846.5700704670146
0.01,WS,collective_influence,,,,,0.0,0.0,0.022,0.015026292745857523,499.85,364.3718856506791,0.06054999999999999,0.03411200591241185,1699.35,1241.5208955996377
0.01,WS,community_bridge,,,,,0.0,0.0,0.018,0.007986831266792265,327.6,185.89595278853682,0.0514,0.01514282877001172,1191.3,574.7546020969114
0.01,WS,degree,,,,,0.0,0.0,0.0172,0.009356112553045904,322.2,225.36744265870863,0.051449999999999996,0.01750631465019348,1121.1,619.2603312781603
0.01,WS,kcore,,,,,0.0,0.0,0.017599999999999998,0.01139898425761099,374.3,310.20249752973336,0.052500000000000005,0.022889896645049597,1252.45,837.4600995994093
0.01,WS,random,,,,,0.0,0.0,0.0235,0.01120385272080429,499.1,268.5557670205576,0.06905,0.027842555463477886,1812.6,908.6787053044019
0.02,BA,betweenness,96.83333333333333,33.92000393081739,,,0.0,0.0,0.1052,0.13563092334870042,2093.85,2775.5627456901702,0.2559,0.2962553841393924,5102.1,6668.13087438262
0.02,BA,collective_influence,120.85714285714286,44.551201148897476,,,0.0,0.0,0.0824,0.09221108507401005,1560.5,1836.6500253966387,0.22585000000000002,0.22740163286920118,3732.75,4241.692336978125
