seed_mode,topology,t10,t10,t50,t50,reached_50,reached_50,final_size,final_size,active_spreader_auc,active_spreader_auc,unique_exposed_fraction,unique_exposed_fraction
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
bridge,BA,2.0,0.0,5.05,0.223606797749979,1.0,0.0,0.99405,0.0027429335045761347,19872.2,578.3588032209403,0.9949999999999999,0.0
bridge,ER,4.65,0.5871429486123999,8.7,0.5712405705774795,1.0,0.0,0.9904,0.0024148662379867725,19859.9,549.0210330550572,0.9925,0.00184960877797956
bridge,WS,7.25,0.8506963092234007,14.75,1.3717065820970682,1.0,0.0,0.9998000000000001,0.0004103913408340612,20134.55,566.4257720682895,0.9949999999999999,0.0
high_degree,BA,2.05,0.22360679774997894,5.05,0.223606797749979,1.0,0.0,0.9960000000000001,0.002316985337163706,20076.55,639.2719110955753,0.9949999999999999,0.0
high_degree,ER,4.2,0.41039134083406165,8.15,0.3663475485325232,1.0,0.0,0.9909000000000001,0.002291862033139739,19904.25,679.6667043098175,0.99245,0.0018771478925557275
high_degree,WS,6.75,0.6386663736585051,14.15,1.0894228312566054,1.0,0.0,0.9996499999999999,0.0006708203932499448,20031.3,559.8757474936548,0.9949999999999999,0.0
peripheral,BA,4.25,0.8506963092234008,7.1,0.7880689256524124,1.0,0.0,0.9954000000000001,0.002479388719231552,19885.45,552.0361806411262,0.9949999999999999,0.0
peripheral,ER,11.0,3.109126351029605,15.052631578947368,3.117578907680451,0.95,0.22360679774997894,0.9428000000000001,0.22075649838441305,19082.25,4528.02927825526,0.9449500000000001,0.22241911007446233
peripheral,WS,9.7,1.5593520921743178,17.5,1.9867985355975657,1.0,0.0,0.9999499999999999,0.0002236067977499718,20165.4,558.0844493726545,0.9949999999999999,0.0
random,BA,4.3,0.7326950970650465,7.15,0.812727700887249,1.0,0.0,0.9949,0.0022454632624823775,19661.9,559.37191281124,0.9949999999999999,0.0
random,ER,6.2,0.894427190999916,10.1,1.1192102478745305,1.0,0.0,0.9894999999999999,0.004110320771193568,19970.0,709.3749658010652,0.9925499999999999,0.0018488972531299707
random,WS,7.85,0.9880869341680845,15.3,1.1285761872936702,1.0,0.0,0.99975,0.0005501196042201737,19892.2,686.0591197480527,0.9949999999999999,0.0
