family,value,topology,mean_degree,mean_degree,clustering,clustering,lcc_fraction,lcc_fraction,t10,t10,t50,t50,reached_50,reached_50,final_size,final_size,active_spreader_auc,active_spreader_auc,unique_exposed_fraction,unique_exposed_fraction
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
ba_m,2.0,BA,3.992,0.0,0.02647722844550715,0.004385919608256971,1.0,0.0,5.9,1.2523661815266247,10.5,1.3178930553209385,1.0,0.0,0.9679499999999999,0.007983370874907143,19439.35,866.1597807503377,0.9949,0.0003077935056255539
ba_m,3.0,BA,5.982,0.0,0.029502813806790023,0.005661430180904616,1.0,0.0,4.55,0.6863327411532598,7.4,0.6805570473787205,1.0,0.0,0.99535,0.0025188761069384292,19788.25,692.4062448409437,0.9949999999999999,0.0
ba_m,5.0,BA,9.95,0.0,0.04008810998371927,0.0029120622734485047,1.0,0.0,3.4,0.5982430416161187,5.35,0.5871429486123997,1.0,0.0,0.99975,0.00044426165831929013,20069.8,656.7451320116903,0.9949999999999999,0.0
mean_degree,4.0,BA,3.992,0.0,0.02599973366910452,0.004204155086076568,1.0,0.0,6.15,1.3869694338832115,10.8,1.6091841672756186,1.0,0.0,0.9695,0.007756152057356944,19042.35,766.7573743059999,0.9949999999999999,0.0
mean_degree,4.0,ER,4.0118,0.08153501023938622,0.0034493387168386598,0.0012651353948878049,0.9801499999999999,0.004533791256541798,8.75,1.292692009559488,15.35,1.2680278927697552,1.0,0.0,0.95055,0.00665285850712228,18923.1,619.7928261672778,0.97295,0.005335827267779471
mean_degree,4.0,WS,4.0,0.0,0.3754085714285714,0.009152546244455264,1.0,0.0,14.2,3.1388901826835816,31.05,4.784569496115392,1.0,0.0,0.9845499999999999,0.008140056898805429,19524.3,582.747945874589,0.99185,0.004463595435355486
mean_degree,6.0,BA,5.982,0.0,0.03355163374011596,0.005426029707177797,1.0,0.0,4.6,0.5982430416161191,7.6,0.502624689950035,1.0,0.0,0.9955,0.0023283154063783837,19865.5,632.5317965795948,0.9949999999999999,0.0
mean_degree,6.0,ER,6.0276000000000005,0.1035589839554961,0.005937008742891055,0.0015563136866116828,0.9983000000000001,0.0014903196407411623,5.9,0.8522416262267903,9.85,0.8750939799154206,1.0,0.0,0.9907999999999999,0.003019236571334594,19760.45,455.86337692454856,0.99315,0.0015312533566021224
mean_degree,6.0,WS,6.0,0.0,0.4409718362193362,0.009211050565430378,1.0,0.0,8.35,0.9880869341680842,16.15,1.0894228312566052,1.0,0.0,0.9995499999999999,0.0006863327411532593,19832.3,763.3741650000167,0.9949999999999999,0.0
mean_degree,10.0,BA,9.95,0.0,0.040582133967360434,0.00325052918812671,1.0,0.0,3.35,0.48936048492959283,5.3,0.5712405705774796,1.0,0.0,0.9997999999999999,0.0005231483637805925,20019.4,663.4448694027577,0.9949999999999999,0.0
mean_degree,10.0,ER,9.9896,0.16614844345692176,0.01014464179632525,0.0008140325789179047,0.9999499999999999,0.00022360679774997938,4.1,0.4472135954999578,6.5,0.512989176042577,1.0,0.0,0.9994,0.0007539370349250517,19720.75,638.4038381199756,0.99495,0.00022360679774997938
mean_degree,10.0,WS,10.0,0.0,0.49070141996891997,0.009025548107435182,1.0,0.0,5.0,0.5619514869490163,9.4,0.6805570473787207,1.0,0.0,1.0,0.0,20175.65,602.1978408078894,0.9949999999999999,0.0
n,500.0,BA,5.964,0.0,0.0520506187400133,0.008024534866305675,1.0,0.0,4.1,0.6407232755171874,7.0,0.6488856845230502,1.0,0.0,0.9934,0.004592900700222611,9827.35,316.9765515152917,0.99,0.0
n,500.0,ER,5.9894,0.14943697844347556,0.011606643911643861,0.0017693882153130478,0.9982,0.0015761378513048116,4.65,0.6708203932499369,8.6,0.6805570473787205,1.0,0.0,0.9909000000000001,0.003143916431191467,9828.8,489.7676785450101,0.9881,0.0015183093090325027
n,500.0,WS,6.0,0.0,0.44397603174603173,0.009461535456459001,1.0,0.0,5.85,1.1821033884786185,13.45,1.6693837501494846,1.0,0.0,0.9994,0.0018467610337532861,9926.9,532.7431394505038,0.99,0.0
n,1000.0,BA,5.982,0.0,0.03134386385713488,0.0037197735158129926,1.0,0.0,4.6,1.142481141154959,7.75,1.1180339887498951,1.0,0.0,0.9951000000000001,0.002751076344384422,20020.0,693.721770407158,0.9949999999999999,0.0
n,1000.0,ER,5.994,0.1102208309665073,0.00535773297780645,0.001060017918367765,0.9974000000000001,0.0015008769366431443,5.95,0.6863327411532598,9.85,0.7451598203705951,1.0,0.0,0.9909000000000001,0.0031606128652858626,19921.8,518.3916016213796,0.9923,0.0014545753585442787
n,1000.0,WS,6.0,0.0,0.4449687301587302,0.008995694600365227,1.0,0.0,8.15,1.1821033884786185,16.0,1.337712108119878,1.0,0.0,1.0,0.0,19662.55,582.5055206424645,0.9949999999999999,0.0
n,2000.0,BA,5.991,0.0,0.017853612317646476,0.00177204549097118,1.0,0.0,5.45,0.8255779474818965,8.35,0.7451598203705947,1.0,0.0,0.9951500000000001,0.0019337718800857685,39405.65,896.6577869187919,0.9975000000000002,0.0
n,2000.0,ER,6.01935,0.09609659340037983,0.0028781728769596,0.0005695979750994381,0.99755,0.0013659390446444603,7.5,0.760885910252682,11.5,0.760885910252682,1.0,0.0,0.9903000000000001,0.0024354833087846172,39472.55,551.0055377503741,0.99495,0.0013659390446444473
n,2000.0,WS,6.0,0.0,0.4432210533910534,0.00478545198885749,1.0,0.0,10.7,0.9233805168766389,18.85,1.1821033884786185,1.0,0.0,0.999875,0.0002750598021100677,40285.85,779.4951318169446,0.9975000000000002,0.0
sbm_mixing,0.02,SBM,5.9594000000000005,0.10829219731818172,0.02269836871461866,0.0017145425972367467,0.9977,0.0010809352675491641,5.95,0.6048053188292994,10.75,1.019545822516343,1.0,0.0,0.98985,0.002254235779009944,19699.6,804.681133316663,0.99245,0.001145931016569878
sbm_mixing,0.1,SBM,6.0024,0.1004822058088421,0.017579768834107015,0.0020239892783273745,0.9978999999999999,0.0010711528467275684,6.1,0.7181848464596079,10.25,1.118033988749895,1.0,0.0,0.9907999999999999,0.0025874189537269327,19760.1,686.1966037130826,0.9929,0.0010711528467275875
sbm_mixing,0.3,SBM,5.983,0.12462575555385173,0.009974070055761175,0.0015492074118340525,0.9981,0.0012937094768634826,6.4,1.142481141154959,10.2,1.239694359615772,1.0,0.0,0.9909000000000001,0.0028635642126552934,19836.4,742.9152675351621,0.993,0.001337712108119874
ws_rewire,0.01,WS,6.0,0.0,0.5831032142857142,0.003299522606396698,1.0,0.0,10.65,2.1343062474478063,34.65,5.593934685278144,1.0,0.0,0.9981,0.006060224070896536,19951.55,645.2632653258253,0.99375,0.00438748219369606
ws_rewire,0.1,WS,6.0,0.0,0.44433545093795085,0.009999573598483788,1.0,0.0,8.3,1.0809352675491621,16.0,1.6543403837370223,1.0,0.0,0.9997,0.0005712405705774953,20087.45,559.1972135876663,0.9949999999999999,0.0
ws_rewire,0.5,WS,6.0,0.0,0.07857812243312239,0.005143925579494178,1.0,0.0,6.45,0.6863327411532597,10.95,0.7591546545162478,1.0,0.0,0.9994500000000001,0.000887041208323013,19825.25,470.7082988768936,0.9949999999999999,0.0
