topology,trial,time,active_spreaders
BA,0,0,5
BA,0,1,9
BA,0,2,24
BA,0,3,44
BA,0,4,101
BA,0,5,196
BA,0,6,335
BA,0,7,477
BA,0,8,612
BA,0,9,693
BA,0,10,716
BA,0,11,719
BA,0,12,719
BA,0,13,717
BA,0,14,696
BA,0,15,683
BA,0,16,649
BA,0,17,619
BA,0,18,591
BA,0,19,561
BA,0,20,537
BA,0,21,518
BA,0,22,494
BA,0,23,474
BA,0,24,451
BA,0,25,439
BA,0,26,412
BA,0,27,383
BA,0,28,366
BA,0,29,346
BA,0,30,334
BA,0,31,321
BA,0,32,304
BA,0,33,286
BA,0,34,273
BA,0,35,260
BA,0,36,254
BA,0,37,240
BA,0,38,224
BA,0,39,213
BA,0,40,199
BA,0,41,193
BA,0,42,184
BA,0,43,171
BA,0,44,160
BA,0,45,151
BA,0,46,143
BA,0,47,135
BA,0,48,129
BA,0,49,122
BA,0,50,117
BA,0,51,109
BA,0,52,105
BA,0,53,104
BA,0,54,95
BA,0,55,88
BA,0,56,82
BA,0,57,80
BA,0,58,77
BA,0,59,73
BA,0,60,71
BA,0,61,69
BA,0,62,68
BA,0,63,63
BA,0,64,63
BA,0,65,62
BA,0,66,55
BA,0,67,54
BA,0,68,53
BA,0,69,50
BA,0,70,47
BA,0,71,44
BA,0,72,44
BA,0,73,42
BA,0,74,38
BA,0,75,37
BA,0,76,36
BA,0,77,36
BA,0,78,34
BA,0,79,34
BA,0,80,33
BA,0,81,29
BA,0,82,29
BA,0,83,29
BA,0,84,29
BA,0,85,28
BA,0,86,27
BA,0,87,26
BA,0,88,25
BA,0,89,24
BA,0,90,23
BA,0,91,22
BA,0,92,21
BA,0,93,21
BA,0,94,19
BA,0,95,19
BA,0,96,19
BA,0,97,18
BA,0,98,17
BA,0,99,16
BA,0,100,16
BA,0,101,15
BA,0,102,14
BA,0,103,13
BA,0,104,12
BA,0,105,12
BA,0,106,12
BA,0,107,12
BA,0,108,11
BA,0,109,10
BA,0,110,10
BA,0,111,9
BA,0,112,9
BA,0,113,9
BA,0,114,9
BA,0,115,9
BA,0,116,9
BA,0,117,7
BA,0,118,7
BA,0,119,5
BA,0,120,5
BA,0,121,5
BA,0,122,5
BA,0,123,5
BA,0,124,5
BA,0,125,5
BA,0,126,5
BA,0,127,4
BA,0,128,3
BA,0,129,3
BA,0,130,3
BA,0,131,3
