topology,trial,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
BA,0,4.0,7.0,1.0,1.0,719.0,0.995,20615.0,0.995,7476.0,6481.0,990.0,164.0,0.0
BA,1,3.0,6.0,1.0,1.0,741.0,0.998,19984.0,0.995,7254.0,6259.0,993.0,133.0,0.0
BA,2,5.0,8.0,1.0,1.0,759.0,0.994,20797.0,0.995,7321.0,6326.0,989.0,150.0,0.0
BA,3,4.0,7.0,1.0,1.0,749.0,0.997,19700.0,0.995,7570.0,6575.0,992.0,134.0,0.0
BA,4,4.0,7.0,1.0,1.0,730.0,0.995,19350.0,0.995,7482.0,6487.0,990.0,120.0,0.0
BA,5,5.0,7.0,1.0,1.0,721.0,0.995,19706.0,0.995,7416.0,6421.0,990.0,133.0,0.0
BA,6,4.0,7.0,1.0,1.0,745.0,0.998,20020.0,0.995,7198.0,6203.0,993.0,162.0,0.0
BA,7,5.0,8.0,1.0,1.0,744.0,0.994,20040.0,0.995,7727.0,6732.0,989.0,136.0,0.0
BA,8,3.0,6.0,1.0,1.0,760.0,0.996,19755.0,0.995,7140.0,6145.0,991.0,109.0,0.0
BA,9,4.0,7.0,1.0,1.0,748.0,0.993,20684.0,0.995,7183.0,6188.0,988.0,289.0,0.0
BA,10,4.0,7.0,1.0,1.0,739.0,0.993,20891.0,0.995,7602.0,6607.0,988.0,157.0,0.0
BA,11,5.0,8.0,1.0,1.0,726.0,0.991,20245.0,0.995,7404.0,6409.0,986.0,133.0,0.0
BA,12,4.0,7.0,1.0,1.0,710.0,0.997,19317.0,0.995,7543.0,6548.0,992.0,174.0,0.0
BA,13,4.0,6.0,1.0,1.0,769.0,0.998,20367.0,0.995,7132.0,6137.0,993.0,180.0,0.0
BA,14,5.0,7.0,1.0,1.0,729.0,0.992,19121.0,0.995,7237.0,6242.0,987.0,124.0,0.0
BA,15,6.0,9.0,1.0,1.0,729.0,0.997,19823.0,0.995,7432.0,6437.0,992.0,142.0,0.0
BA,16,5.0,8.0,1.0,1.0,720.0,0.996,19454.0,0.995,6989.0,5994.0,991.0,139.0,0.0
BA,17,5.0,7.0,1.0,1.0,747.0,0.996,19259.0,0.995,7450.0,6455.0,991.0,156.0,0.0
BA,18,4.0,7.0,1.0,1.0,746.0,0.995,19850.0,0.995,7598.0,6603.0,990.0,141.0,0.0
BA,19,5.0,8.0,1.0,1.0,737.0,0.997,20736.0,0.995,7494.0,6499.0,992.0,173.0,0.0
BA,20,4.0,7.0,1.0,1.0,733.0,0.999,20614.0,0.995,7356.0,6361.0,994.0,148.0,0.0
BA,21,5.0,8.0,1.0,1.0,760.0,0.994,21356.0,0.995,7603.0,6608.0,989.0,163.0,0.0
BA,22,4.0,7.0,1.0,1.0,739.0,0.993,19761.0,0.995,7463.0,6468.0,988.0,161.0,0.0
BA,23,5.0,8.0,1.0,1.0,731.0,0.997,19544.0,0.995,7236.0,6241.0,992.0,189.0,0.0
BA,24,7.0,10.0,1.0,1.0,757.0,0.999,21012.0,0.995,7238.0,6243.0,994.0,112.0,0.0
BA,25,4.0,7.0,1.0,1.0,723.0,0.992,20230.0,0.995,7865.0,6870.0,987.0,148.0,0.0
BA,26,5.0,7.0,1.0,1.0,729.0,0.991,18761.0,0.995,7349.0,6354.0,986.0,149.0,0.0
BA,27,3.0,6.0,1.0,1.0,740.0,0.998,19937.0,0.995,7252.0,6257.0,993.0,180.0,0.0
BA,28,4.0,6.0,1.0,1.0,754.0,0.995,20006.0,0.995,7428.0,6433.0,990.0,148.0,0.0
BA,29,5.0,8.0,1.0,1.0,702.0,0.995,18911.0,0.995,7529.0,6534.0,990.0,161.0,0.0
BA,30,4.0,7.0,1.0,1.0,720.0,0.99,18502.0,0.995,7435.0,6440.0,985.0,143.0,0.0
BA,31,4.0,7.0,1.0,1.0,754.0,0.993,19834.0,0.995,7123.0,6128.0,988.0,128.0,0.0
BA,32,4.0,7.0,1.0,1.0,720.0,0.991,19049.0,0.995,7491.0,6496.0,986.0,126.0,0.0
BA,33,3.0,6.0,1.0,1.0,742.0,0.995,20459.0,0.995,7185.0,6190.0,990.0,182.0,0.0
BA,34,5.0,8.0,1.0,1.0,734.0,0.995,20085.0,0.995,7429.0,6434.0,990.0,175.0,0.0
BA,35,4.0,7.0,1.0,1.0,739.0,0.999,20714.0,0.995,7714.0,6719.0,994.0,171.0,0.0
BA,36,5.0,8.0,1.0,1.0,734.0,0.996,20118.0,0.995,7310.0,6315.0,991.0,233.0,0.0
BA,37,4.0,7.0,1.0,1.0,738.0,0.997,19666.0,0.995,7477.0,6482.0,992.0,127.0,0.0
BA,38,4.0,7.0,1.0,1.0,744.0,0.994,20329.0,0.995,7137.0,6142.0,989.0,157.0,0.0
BA,39,5.0,8.0,1.0,1.0,746.0,0.999,20482.0,0.995,7270.0,6275.0,994.0,170.0,0.0
BA,40,4.0,7.0,1.0,1.0,707.0,0.997,19699.0,0.995,7645.0,6650.0,992.0,165.0,0.0
BA,41,4.0,7.0,1.0,1.0,760.0,0.995,20018.0,0.995,7631.0,6636.0,990.0,136.0,0.0
BA,42,5.0,8.0,1.0,1.0,753.0,0.994,19626.0,0.995,7497.0,6502.0,989.0,123.0,0.0
BA,43,5.0,8.0,1.0,1.0,739.0,0.993,19963.0,0.995,7236.0,6241.0,988.0,169.0,0.0
BA,44,4.0,6.0,1.0,1.0,691.0,0.992,19620.0,0.995,7616.0,6621.0,987.0,168.0,0.0
BA,45,5.0,8.0,1.0,1.0,733.0,0.996,19590.0,0.995,7707.0,6712.0,991.0,134.0,0.0
BA,46,4.0,7.0,1.0,1.0,720.0,0.991,18959.0,0.995,7557.0,6562.0,986.0,139.0,0.0
BA,47,5.0,8.0,1.0,1.0,702.0,0.992,18187.0,0.995,7681.0,6686.0,987.0,134.0,0.0
BA,48,4.0,7.0,1.0,1.0,737.0,0.992,19805.0,0.995,7135.0,6140.0,987.0,178.0,0.0
BA,49,5.0,8.0,1.0,1.0,754.0,0.995,20248.0,0.995,7649.0,6654.0,990.0,172.0,0.0
BA,50,4.0,7.0,1.0,1.0,755.0,0.995,19740.0,0.995,7311.0,6316.0,990.0,133.0,0.0
BA,51,4.0,7.0,1.0,1.0,743.0,0.995,20418.0,0.995,7475.0,6480.0,990.0,133.0,0.0
BA,52,4.0,7.0,1.0,1.0,732.0,0.995,19172.0,0.995,7426.0,6431.0,990.0,141.0,0.0
BA,53,5.0,8.0,1.0,1.0,733.0,0.997,20752.0,0.995,7542.0,6547.0,992.0,157.0,0.0
BA,54,5.0,8.0,1.0,1.0,744.0,0.994,20624.0,0.995,7408.0,6413.0,989.0,178.0,0.0
BA,55,4.0,7.0,1.0,1.0,766.0,0.998,21619.0,0.995,7286.0,6291.0,993.0,154.0,0.0
BA,56,4.0,7.0,1.0,1.0,735.0,1.0,19548.0,0.995,7054.0,6059.0,995.0,183.0,0.0
BA,57,7.0,10.0,1.0,1.0,721.0,0.996,19965.0,0.995,7685.0,6690.0,991.0,162.0,0.0
BA,58,3.0,6.0,1.0,1.0,747.0,0.995,19725.0,0.995,7327.0,6332.0,990.0,144.0,0.0
BA,59,4.0,7.0,1.0,1.0,736.0,0.996,19879.0,0.995,7661.0,6666.0,991.0,149.0,0.0
BA,60,5.0,8.0,1.0,1.0,764.0,0.993,19788.0,0.995,7326.0,6331.0,988.0,180.0,0.0
BA,61,8.0,11.0,1.0,1.0,714.0,0.997,19652.0,0.995,7468.0,6473.0,992.0,146.0,0.0
BA,62,5.0,8.0,1.0,1.0,734.0,0.994,19717.0,0.995,7204.0,6209.0,989.0,152.0,0.0
BA,63,5.0,8.0,1.0,1.0,725.0,0.996,20666.0,0.995,7417.0,6422.0,991.0,162.0,0.0
BA,64,6.0,9.0,1.0,1.0,719.0,0.991,18310.0,0.995,7300.0,6305.0,986.0,157.0,0.0
BA,65,4.0,7.0,1.0,1.0,759.0,0.996,20397.0,0.995,7216.0,6221.0,991.0,146.0,0.0
BA,66,5.0,8.0,1.0,1.0,721.0,0.993,19471.0,0.995,7625.0,6630.0,988.0,143.0,0.0
BA,67,5.0,8.0,1.0,1.0,731.0,0.996,20005.0,0.995,7262.0,6267.0,991.0,141.0,0.0
