topology,trial,behavior,fraction,strategy,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
ER,0,homogeneous,0.05,random,6.0,10.0,1.0,1.0,660.0,0.941,18367.0,0.942,6976.0,6034.0,936.0,130.0,0.05
ER,0,homogeneous,0.05,degree,8.0,13.0,1.0,1.0,652.0,0.926,18334.0,0.937,6531.0,5594.0,921.0,116.0,0.05
ER,0,homogeneous,0.05,betweenness,8.0,13.0,1.0,1.0,656.0,0.939,19132.0,0.939,7198.0,6259.0,934.0,208.0,0.05
ER,0,homogeneous,0.05,kcore,7.0,11.0,1.0,1.0,700.0,0.937,18225.0,0.939,6093.0,5154.0,932.0,118.0,0.05
ER,0,homogeneous,0.05,collective_influence,7.0,13.0,1.0,1.0,643.0,0.935,18586.0,0.939,6806.0,5867.0,930.0,131.0,0.05
ER,0,homogeneous,0.05,community_bridge,6.0,11.0,1.0,1.0,632.0,0.93,17953.0,0.94,6962.0,6022.0,925.0,139.0,0.05
ER,0,moderate,0.05,random,5.0,10.0,1.0,1.0,683.0,0.937,19682.0,0.942,7212.0,6270.0,932.0,289.0,0.05
ER,0,moderate,0.05,degree,6.0,11.0,1.0,1.0,626.0,0.931,19194.0,0.94,7296.0,6356.0,926.0,143.0,0.05
ER,0,moderate,0.05,betweenness,7.0,11.0,1.0,1.0,640.0,0.936,18878.0,0.938,7161.0,6223.0,931.0,179.0,0.05
ER,0,moderate,0.05,kcore,9.0,14.0,1.0,1.0,648.0,0.93,19617.0,0.938,7211.0,6273.0,925.0,144.0,0.05
ER,0,moderate,0.05,collective_influence,9.0,14.0,1.0,1.0,647.0,0.937,18686.0,0.942,6969.0,6027.0,932.0,143.0,0.05
ER,0,moderate,0.05,community_bridge,7.0,12.0,1.0,1.0,646.0,0.928,18973.0,0.941,7061.0,6120.0,923.0,140.0,0.05
ER,0,strong,0.05,random,6.0,11.0,1.0,1.0,621.0,0.93,19081.0,0.942,8512.0,7570.0,925.0,206.0,0.05
ER,0,strong,0.05,degree,7.0,14.0,1.0,1.0,543.0,0.916,18729.0,0.938,9323.0,8385.0,911.0,146.0,0.05
