topology,trial,strategy,fraction,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
BA,0,betweenness,0.01,8.0,12.0,1.0,1.0,660.0,0.972,18370.0,0.982,6896.0,5914.0,967.0,137.0,0.01
BA,0,betweenness,0.05,6.0,13.0,1.0,1.0,546.0,0.894,17616.0,0.926,6011.0,5085.0,889.0,169.0,0.05
BA,0,betweenness,0.1,11.0,23.0,1.0,1.0,389.0,0.776,15788.0,0.832,5509.0,4677.0,771.0,197.0,0.1
BA,0,collective_influence,0.01,6.0,10.0,1.0,1.0,673.0,0.978,19462.0,0.983,7180.0,6197.0,973.0,154.0,0.01
BA,0,collective_influence,0.05,8.0,15.0,1.0,1.0,520.0,0.882,16837.0,0.92,5864.0,4944.0,877.0,135.0,0.05
BA,0,collective_influence,0.1,13.0,25.0,1.0,1.0,412.0,0.781,15745.0,0.824,4929.0,4105.0,776.0,175.0,0.1
BA,0,community_bridge,0.01,6.0,10.0,1.0,1.0,696.0,0.977,20161.0,0.983,7013.0,6030.0,972.0,143.0,0.01
BA,0,community_bridge,0.05,10.0,19.0,1.0,1.0,512.0,0.886,17716.0,0.92,6136.0,5216.0,881.0,165.0,0.05
BA,0,community_bridge,0.1,19.0,33.0,1.0,1.0,373.0,0.737,14672.0,0.802,5048.0,4246.0,732.0,168.0,0.1
BA,0,degree,0.01,6.0,11.0,1.0,1.0,629.0,0.965,18904.0,0.983,7304.0,6321.0,960.0,137.0,0.01
BA,0,degree,0.05,11.0,20.0,1.0,1.0,486.0,0.875,16575.0,0.919,6212.0,5293.0,870.0,154.0,0.05
BA,0,degree,0.1,13.0,30.0,1.0,1.0,344.0,0.702,13546.0,0.789,5053.0,4264.0,697.0,225.0,0.1
BA,0,eigenvector,0.01,6.0,11.0,1.0,1.0,662.0,0.975,19809.0,0.983,7181.0,6198.0,970.0,185.0,0.01
BA,0,eigenvector,0.05,9.0,15.0,1.0,1.0,560.0,0.905,18964.0,0.934,6335.0,5401.0,900.0,138.0,0.05
BA,0,eigenvector,0.1,11.0,20.0,1.0,1.0,458.0,0.832,17428.0,0.866,5704.0,4838.0,827.0,171.0,0.1
BA,0,kcore,0.01,5.0,9.0,1.0,1.0,654.0,0.973,18652.0,0.983,7014.0,6031.0,968.0,161.0,0.01
BA,0,kcore,0.05,10.0,20.0,1.0,1.0,465.0,0.879,17476.0,0.921,6349.0,5428.0,874.0,161.0,0.05
BA,0,kcore,0.1,15.0,32.0,1.0,1.0,328.0,0.762,15770.0,0.817,5118.0,4301.0,757.0,190.0,0.1
BA,0,pagerank,0.01,6.0,10.0,1.0,1.0,647.0,0.967,19341.0,0.983,7125.0,6142.0,962.0,165.0,0.01
BA,0,pagerank,0.05,8.0,16.0,1.0,1.0,510.0,0.879,17108.0,0.92,5792.0,4872.0,874.0,158.0,0.05
BA,0,pagerank,0.1,28.0,48.0,1.0,1.0,327.0,0.738,14495.0,0.807,5143.0,4336.0,733.0,172.0,0.1
BA,0,random,0.01,4.0,6.0,1.0,1.0,720.0,0.986,19938.0,0.985,7244.0,6259.0,981.0,151.0,0.01
BA,0,random,0.05,4.0,7.0,1.0,1.0,683.0,0.945,18283.0,0.945,7131.0,6186.0,940.0,140.0,0.05
BA,0,random,0.1,5.0,8.0,1.0,1.0,658.0,0.895,18271.0,0.895,6198.0,5303.0,890.0,136.0,0.1
BA,1,betweenness,0.01,5.0,9.0,1.0,1.0,689.0,0.98,20043.0,0.985,6945.0,5960.0,975.0,141.0,0.01
BA,1,betweenness,0.05,7.0,14.0,1.0,1.0,567.0,0.894,18410.0,0.924,6104.0,5180.0,889.0,160.0,0.05
BA,1,betweenness,0.1,9.0,20.0,1.0,1.0,442.0,0.778,16408.0,0.833,5346.0,4513.0,773.0,227.0,0.1
BA,1,collective_influence,0.01,5.0,10.0,1.0,1.0,691.0,0.98,20169.0,0.983,7172.0,6189.0,975.0,136.0,0.01
BA,1,collective_influence,0.05,9.0,15.0,1.0,1.0,580.0,0.896,18458.0,0.92,5941.0,5021.0,891.0,190.0,0.05
BA,1,collective_influence,0.1,13.0,24.0,1.0,1.0,410.0,0.77,16241.0,0.818,4992.0,4174.0,765.0,150.0,0.1
BA,1,community_bridge,0.01,6.0,10.0,1.0,1.0,668.0,0.972,18972.0,0.982,7110.0,6128.0,967.0,136.0,0.01
BA,1,community_bridge,0.05,8.0,14.0,1.0,1.0,557.0,0.884,17178.0,0.92,6129.0,5209.0,879.0,179.0,0.05
BA,1,community_bridge,0.1,10.0,22.0,1.0,1.0,429.0,0.764,16118.0,0.81,5215.0,4405.0,759.0,146.0,0.1
BA,1,degree,0.01,6.0,10.0,1.0,1.0,673.0,0.977,20705.0,0.983,7345.0,6362.0,972.0,253.0,0.01
BA,1,degree,0.05,11.0,18.0,1.0,1.0,556.0,0.881,18282.0,0.92,6326.0,5406.0,876.0,171.0,0.05
BA,1,degree,0.1,10.0,24.0,1.0,1.0,371.0,0.734,13594.0,0.792,5028.0,4236.0,729.0,156.0,0.1
BA,1,eigenvector,0.01,6.0,11.0,1.0,1.0,677.0,0.973,19016.0,0.985,7159.0,6174.0,968.0,161.0,0.01
BA,1,eigenvector,0.05,7.0,14.0,1.0,1.0,541.0,0.898,18043.0,0.93,6356.0,5426.0,893.0,172.0,0.05
BA,1,eigenvector,0.1,8.0,16.0,1.0,1.0,470.0,0.817,15629.0,0.859,5585.0,4726.0,812.0,174.0,0.1
BA,1,kcore,0.01,6.0,10.0,1.0,1.0,696.0,0.979,18258.0,0.983,7066.0,6083.0,974.0,166.0,0.01
BA,1,kcore,0.05,10.0,18.0,1.0,1.0,541.0,0.882,17349.0,0.916,6023.0,5107.0,877.0,151.0,0.05
BA,1,kcore,0.1,13.0,27.0,1.0,1.0,366.0,0.757,14984.0,0.803,5052.0,4249.0,752.0,159.0,0.1
