topology,trial,strategy,ranking_seconds,n,edges
BA,0,betweenness,0.27940749999834225,1000,2991
BA,0,collective_influence,0.05069939998793416,1000,2991
BA,0,community_bridge,0.6539472000149544,1000,2991
BA,0,degree,0.0017328000103589147,1000,2991
BA,0,eigenvector,0.05357899999944493,1000,2991
BA,0,kcore,0.0039539999852422625,1000,2991
BA,0,pagerank,0.005386300006648526,1000,2991
BA,1,betweenness,0.30845709997811355,1000,2991
BA,1,collective_influence,0.04954150001867674,1000,2991
BA,1,community_bridge,0.7359058000147343,1000,2991
BA,1,degree,0.0017952000198420137,1000,2991
BA,1,eigenvector,0.05038609998882748,1000,2991
BA,1,kcore,0.0042526999895926565,1000,2991
BA,1,pagerank,0.009825599991017953,1000,2991
BA,2,betweenness,0.28098129999125376,1000,2991
BA,2,collective_influence,0.054811299982247874,1000,2991
BA,2,community_bridge,0.7252198999922257,1000,2991
BA,2,degree,0.0009500999876763672,1000,2991
BA,2,eigenvector,0.0643335000204388,1000,2991
BA,2,kcore,0.004855400009546429,1000,2991
BA,2,pagerank,0.005594399990513921,1000,2991
BA,3,betweenness,0.2742879000143148,1000,2991
BA,3,collective_influence,0.04579649999504909,1000,2991
BA,3,community_bridge,0.8404341000132263,1000,2991
BA,3,degree,0.0009314000199083239,1000,2991
BA,3,eigenvector,0.03904430000693537,1000,2991
BA,3,kcore,0.003855800023302436,1000,2991
BA,3,pagerank,0.00596189999487251,1000,2991
BA,4,betweenness,0.29806899998220615,1000,2991
BA,4,collective_influence,0.06855129997711629,1000,2991
BA,4,community_bridge,0.7673238000134006,1000,2991
BA,4,degree,0.0016472999996040016,1000,2991
BA,4,eigenvector,0.04564430000027642,1000,2991
BA,4,kcore,0.00647760002175346,1000,2991
BA,4,pagerank,0.008488499996019527,1000,2991
BA,5,betweenness,0.34411679999902844,1000,2991
BA,5,collective_influence,0.04086390000884421,1000,2991
BA,5,community_bridge,0.8298231000080705,1000,2991
BA,5,degree,0.000885000015841797,1000,2991
BA,5,eigenvector,0.05963770000380464,1000,2991
BA,5,kcore,0.003284600010374561,1000,2991
BA,5,pagerank,0.005406899988884106,1000,2991
BA,6,betweenness,0.3116767999890726,1000,2991
BA,6,collective_influence,0.06322369998088107,1000,2991
BA,6,community_bridge,0.8380181000102311,1000,2991
BA,6,degree,0.0008969999908003956,1000,2991
BA,6,eigenvector,0.044725799991283566,1000,2991
BA,6,kcore,0.004283899994334206,1000,2991
BA,6,pagerank,0.00773690000642091,1000,2991
BA,7,betweenness,0.3037051999999676,1000,2991
BA,7,collective_influence,0.06201140000484884,1000,2991
BA,7,community_bridge,0.7877746000012849,1000,2991
BA,7,degree,0.0008671999967191368,1000,2991
BA,7,eigenvector,0.04308029997628182,1000,2991
BA,7,kcore,0.006456300005083904,1000,2991
BA,7,pagerank,0.009219900006428361,1000,2991
BA,8,betweenness,0.3073801000136882,1000,2991
BA,8,collective_influence,0.05112600000575185,1000,2991
BA,8,community_bridge,0.9133632000011858,1000,2991
BA,8,degree,0.0008502999844495207,1000,2991
BA,8,eigenvector,0.05183790001319721,1000,2991
BA,8,kcore,0.0063427000131923705,1000,2991
BA,8,pagerank,0.009239099978003651,1000,2991
