family,value,topology,trial,nodes,edges,mean_degree,density,clustering,transitivity,assortativity,components,lcc_fraction,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
n,500.0,ER,6,500,1473,5.892,0.011807615230460922,0.014235686535686534,0.013237343241987923,-0.04183218508517651,3,0.996,5.0,9.0,1.0,1.0,372.0,0.994,10351.0,0.986,3755.0,3262.0,492.0,185.0,0.0
n,500.0,ER,2,500,1441,5.764,0.011551102204408817,0.012683549783549783,0.010873504893077202,0.004165495614354839,2,0.998,5.0,9.0,1.0,1.0,379.0,0.992,10385.0,0.988,3584.0,3090.0,491.0,135.0,0.0
n,500.0,ER,4,500,1485,5.94,0.011903807615230461,0.012889954489954489,0.011948111060537095,-0.02075227276444628,1,1.0,5.0,9.0,1.0,1.0,356.0,0.99,9084.0,0.99,3992.0,3497.0,490.0,111.0,0.0
n,500.0,ER,1,500,1532,6.128,0.01228056112224449,0.00812110112110112,0.007911392405063292,-0.04196424508094073,2,0.998,4.0,8.0,1.0,1.0,340.0,0.988,9371.0,0.988,3690.0,3196.0,489.0,123.0,0.0
n,500.0,ER,0,500,1519,6.076,0.012176352705410821,0.011784715284715284,0.012165716790881192,0.032348412212789196,1,1.0,5.0,8.0,1.0,1.0,362.0,0.99,9242.0,0.99,3729.0,3234.0,490.0,118.0,0.0
n,500.0,ER,7,500,1486,5.944,0.01191182364729459,0.009512842712842712,0.0096,0.0024124493114225124,3,0.996,4.0,8.0,1.0,1.0,360.0,0.992,9584.0,0.986,3584.0,3091.0,491.0,92.0,0.0
n,500.0,ER,3,500,1515,6.06,0.012144288577154308,0.011006693306693306,0.010445000544010445,0.015183917878528118,1,1.0,4.0,9.0,1.0,1.0,359.0,0.994,10722.0,0.99,3940.0,3445.0,492.0,130.0,0.0
n,500.0,ER,5,500,1496,5.984,0.011991983967935872,0.01327100677100677,0.011301939058171746,-0.007771838340693002,2,0.998,4.0,8.0,1.0,1.0,346.0,0.984,9598.0,0.988,3664.0,3170.0,487.0,134.0,0.0
n,500.0,ER,12,500,1442,5.768,0.011559118236472946,0.010337185037185037,0.010578793774319067,0.0118300956772295,3,0.996,6.0,10.0,1.0,1.0,368.0,0.992,8733.0,0.986,3405.0,2912.0,491.0,130.0,0.0
n,500.0,ER,11,500,1478,5.912,0.011847695390781563,0.013281107781107781,0.014163979732842008,-0.017525879210903903,3,0.996,4.0,7.0,1.0,1.0,363.0,0.988,9766.0,0.986,3647.0,3154.0,489.0,107.0,0.0
n,500.0,ER,13,500,1537,6.148,0.01232064128256513,0.012984570984570985,0.013993427329587619,0.03160167327827721,2,0.998,6.0,9.0,1.0,1.0,373.0,0.996,9992.0,0.988,3682.0,3188.0,493.0,146.0,0.0
n,500.0,ER,10,500,1520,6.08,0.01218436873747495,0.012206782106782107,0.011018688560008642,-0.03160129044616015,2,0.998,4.0,8.0,1.0,1.0,380.0,0.988,9783.0,0.988,3802.0,3308.0,489.0,147.0,0.0
n,500.0,ER,8,500,1495,5.98,0.011983967935871743,0.01079157509157509,0.011896668932698844,0.014095836557751764,1,1.0,5.0,9.0,1.0,1.0,355.0,0.994,10305.0,0.988,3675.0,3181.0,492.0,158.0,0.0
n,500.0,ER,9,500,1566,6.264,0.01255310621242485,0.0102015873015873,0.012796504369538077,0.021306915147791844,1,1.0,5.0,9.0,1.0,1.0,356.0,0.992,9980.0,0.99,3770.0,3275.0,491.0,119.0,0.0
n,500.0,ER,15,500,1531,6.124,0.01227254509018036,0.015387645687645687,0.015900486749594375,-0.0021208419596619233,1,1.0,5.0,9.0,1.0,1.0,359.0,0.992,9632.0,0.99,3754.0,3259.0,491.0,109.0,0.0
n,500.0,ER,14,500,1452,5.808,0.01163927855711423,0.010634776334776335,0.009900990099009901,-0.018435288541684167,3,0.996,4.0,8.0,1.0,1.0,359.0,0.99,10009.0,0.986,3787.0,3294.0,490.0,121.0,0.0
n,500.0,ER,19,500,1557,6.228,0.012480961923847695,0.011142091242091243,0.011106540518305225,0.007650061868061509,2,0.998,5.0,9.0,1.0,1.0,365.0,0.99,9936.0,0.988,3855.0,3361.0,490.0,124.0,0.0
n,500.0,ER,16,500,1509,6.036,0.01209619238476954,0.009586158286158285,0.009271523178807948,0.014169429793668364,2,0.998,5.0,9.0,1.0,1.0,360.0,0.996,9840.0,0.988,3987.0,3493.0,493.0,160.0,0.0
n,500.0,ER,18,500,1460,5.84,0.011703406813627254,0.010502997002997002,0.011727078891257996,0.017518605048414473,2,0.998,4.0,8.0,1.0,1.0,368.0,0.99,9810.0,0.988,3725.0,3231.0,490.0,129.0,0.0
