topology,trial,strategy,ranking_seconds,n,edges
BA,0,betweenness,0.3037283710000338,1000,2991
BA,0,collective_influence,0.02248123999999052,1000,2991
BA,0,community_bridge,0.692728403999979,1000,2991
BA,0,degree,0.0006496489999676669,1000,2991
BA,0,eigenvector,0.021069354000019302,1000,2991
BA,0,kcore,0.002544162000049255,1000,2991
BA,0,pagerank,0.05687470099996972,1000,2991
BA,1,betweenness,0.3030960529999902,1000,2991
BA,1,collective_influence,0.01938535699997601,1000,2991
BA,1,community_bridge,0.9163859259999754,1000,2991
BA,1,degree,0.0006690280000043458,1000,2991
BA,1,eigenvector,0.02374744799999462,1000,2991
BA,1,kcore,0.05493332800000417,1000,2991
BA,1,pagerank,0.0055209509999940565,1000,2991
BA,2,betweenness,0.2988051149999933,1000,2991
BA,2,collective_influence,0.06869097899999588,1000,2991
BA,2,community_bridge,0.7136299549999876,1000,2991
BA,2,degree,0.0006268239999940306,1000,2991
BA,2,eigenvector,0.022927272000003995,1000,2991
BA,2,kcore,0.0023801940000112154,1000,2991
BA,2,pagerank,0.004197841999996399,1000,2991
BA,3,betweenness,0.24204094999998915,1000,2991
BA,3,collective_influence,0.02049978600001623,1000,2991
BA,3,community_bridge,0.90836516600001,1000,2991
BA,3,degree,0.000660495000033734,1000,2991
BA,3,eigenvector,0.06953102400001399,1000,2991
BA,3,kcore,0.0026285490000077516,1000,2991
BA,3,pagerank,0.004284093000023859,1000,2991
BA,4,betweenness,0.2377797620000024,1000,2991
BA,4,collective_influence,0.01881776200002605,1000,2991
BA,4,community_bridge,0.7703150909999863,1000,2991
BA,4,degree,0.0006384310000271398,1000,2991
BA,4,eigenvector,0.06953664299999218,1000,2991
BA,4,kcore,0.0024601250000273467,1000,2991
BA,4,pagerank,0.004266436000023077,1000,2991
BA,5,betweenness,0.30124977799999897,1000,2991
BA,5,collective_influence,0.02137962099999413,1000,2991
BA,5,community_bridge,0.7847170379999966,1000,2991
BA,5,degree,0.0007228790000226581,1000,2991
BA,5,eigenvector,0.022619046999977854,1000,2991
BA,5,kcore,0.05918607400002429,1000,2991
BA,5,pagerank,0.004192434000003686,1000,2991
BA,6,betweenness,0.2932257730000174,1000,2991
BA,6,collective_influence,0.019127427999990232,1000,2991
BA,6,community_bridge,0.8003377790000172,1000,2991
BA,6,degree,0.0006373800000005758,1000,2991
BA,6,eigenvector,0.07111976700002742,1000,2991
BA,6,kcore,0.0025104110000029323,1000,2991
BA,6,pagerank,0.0040844920000040474,1000,2991
BA,7,betweenness,0.3044842290000247,1000,2991
BA,7,collective_influence,0.01992523000001256,1000,2991
BA,7,community_bridge,0.8746436549999999,1000,2991
BA,7,degree,0.0006371999999714717,1000,2991
BA,7,eigenvector,0.08073981700005106,1000,2991
BA,7,kcore,0.002554266999993615,1000,2991
BA,7,pagerank,0.004264323000029435,1000,2991
BA,8,betweenness,0.31661186299999144,1000,2991
BA,8,collective_influence,0.02042078700003458,1000,2991
BA,8,community_bridge,0.8238218399999937,1000,2991
BA,8,degree,0.0007287380000207122,1000,2991
BA,8,eigenvector,0.07488685999999234,1000,2991
BA,8,kcore,0.002787848999957987,1000,2991
BA,8,pagerank,0.004431383999985883,1000,2991
BA,9,betweenness,0.23879962600000226,1000,2991
BA,9,collective_influence,0.022166807000019162,1000,2991
BA,9,community_bridge,0.8675288919999957,1000,2991
BA,9,degree,0.0006856029999653401,1000,2991
BA,9,eigenvector,0.022719509000012295,1000,2991
BA,9,kcore,0.0026789249999978892,1000,2991
BA,9,pagerank,0.052806494000037674,1000,2991
BA,10,betweenness,0.2961336789999791,1000,2991
BA,10,collective_influence,0.07077494600002865,1000,2991
BA,10,community_bridge,0.9229775329999939,1000,2991
BA,10,degree,0.0006857330000116235,1000,2991
BA,10,eigenvector,0.024712800999964202,1000,2991
BA,10,kcore,0.0025431599999592436,1000,2991
BA,10,pagerank,0.004541821000032087,1000,2991
BA,11,betweenness,0.23708295000000135,1000,2991
BA,11,collective_influence,0.021070004000023346,1000,2991
BA,11,community_bridge,0.7720830569999748,1000,2991
BA,11,degree,0.0006627180000009503,1000,2991
BA,11,eigenvector,0.021219189000021288,1000,2991
BA,11,kcore,0.002634377999982007,1000,2991
BA,11,pagerank,0.057035062000011294,1000,2991
BA,12,betweenness,0.29678464799997073,1000,2991
BA,12,collective_influence,0.06915689900000643,1000,2991
BA,12,community_bridge,1.0063160959999777,1000,2991
BA,12,degree,0.0006903689999830931,1000,2991
BA,12,eigenvector,0.020989252999982,1000,2991
BA,12,kcore,0.002475719000017307,1000,2991
BA,12,pagerank,0.0046587859999931425,1000,2991
BA,13,betweenness,0.35908400599998913,1000,2991
BA,13,collective_influence,0.02280705099997249,1000,2991
BA,13,community_bridge,1.0825233420000018,1000,2991
BA,13,degree,0.0006475250000335109,1000,2991
BA,13,eigenvector,0.0307622619999961,1000,2991
BA,13,kcore,0.06020670899999914,1000,2991
BA,13,pagerank,0.00696405999997296,1000,2991
BA,14,betweenness,0.3011784230000103,1000,2991
BA,14,collective_influence,0.022447999999997137,1000,2991
BA,14,community_bridge,1.078476581000018,1000,2991
BA,14,degree,0.0009889389999671039,1000,2991
BA,14,eigenvector,0.07785808400001315,1000,2991
BA,14,kcore,0.0032552719999898727,1000,2991
BA,14,pagerank,0.004663354000001618,1000,2991
BA,15,betweenness,0.30379675700004327,1000,2991
BA,15,collective_influence,0.02205235299999231,1000,2991
BA,15,community_bridge,0.7005873419999489,1000,2991
BA,15,degree,0.0006660530000317522,1000,2991
BA,15,eigenvector,0.07387237199998253,1000,2991
BA,15,kcore,0.0025087380000172743,1000,2991
BA,15,pagerank,0.004295259000002716,1000,2991
BA,16,betweenness,0.3023987409999904,1000,2991
BA,16,collective_influence,0.07574966799995764,1000,2991
BA,16,community_bridge,0.9221454569999992,1000,2991
BA,16,degree,0.0007116520000067794,1000,2991
BA,16,eigenvector,0.024386379000020497,1000,2991
BA,16,kcore,0.002507927000010568,1000,2991
BA,16,pagerank,0.06095957200000157,1000,2991
BA,17,betweenness,0.2936006500000303,1000,2991
BA,17,collective_influence,0.022406356999965737,1000,2991
BA,17,community_bridge,0.872543281999981,1000,2991
BA,17,degree,0.0006735050000088449,1000,2991
BA,17,eigenvector,0.0716014009999526,1000,2991
BA,17,kcore,0.003031114999998863,1000,2991
BA,17,pagerank,0.004220525999983238,1000,2991
BA,18,betweenness,0.28998136900003146,1000,2991
BA,18,collective_influence,0.02089042399995833,1000,2991
BA,18,community_bridge,0.7709534360000134,1000,2991
BA,18,degree,0.0006316110000170738,1000,2991
BA,18,eigenvector,0.07435494800000697,1000,2991
BA,18,kcore,0.002550051000014264,1000,2991
BA,18,pagerank,0.0040603049999958785,1000,2991
BA,19,betweenness,0.30885492499999145,1000,2991
BA,19,collective_influence,0.021590127000024495,1000,2991
BA,19,community_bridge,0.7055072429999996,1000,2991
BA,19,degree,0.0006453519999922719,1000,2991
BA,19,eigenvector,0.07779770700000199,1000,2991
BA,19,kcore,0.0025190740000198275,1000,2991
BA,19,pagerank,0.0042221790000098736,1000,2991
BA,20,betweenness,0.3628010279999785,1000,2991
BA,20,collective_influence,0.07172004900002094,1000,2991
BA,20,community_bridge,0.7183954749999657,1000,2991
BA,20,degree,0.000705593000020599,1000,2991
BA,20,eigenvector,0.02102218200002426,1000,2991
BA,20,kcore,0.00247562800001333,1000,2991
BA,20,pagerank,0.004787199999952918,1000,2991
BA,21,betweenness,0.3021482999999989,1000,2991
BA,21,collective_influence,0.07934075600002188,1000,2991
BA,21,community_bridge,0.8275782100000129,1000,2991
BA,21,degree,0.0006642909999641233,1000,2991
BA,21,eigenvector,0.023936310999999932,1000,2991
BA,21,kcore,0.002585854000017207,1000,2991
BA,21,pagerank,0.05659711100003051,1000,2991
BA,22,betweenness,0.29661658300000227,1000,2991
BA,22,collective_influence,0.021466652000015074,1000,2991
BA,22,community_bridge,0.8066666089999899,1000,2991
BA,22,degree,0.0009044329999596812,1000,2991
BA,22,eigenvector,0.07484258200003069,1000,2991
BA,22,kcore,0.0025057440000182396,1000,2991
BA,22,pagerank,0.004209749999972701,1000,2991
BA,23,betweenness,0.30969689500000186,1000,2991
BA,23,collective_influence,0.07015372099999695,1000,2991
BA,23,community_bridge,0.9353517269999543,1000,2991
BA,23,degree,0.0006846109999969485,1000,2991
BA,23,eigenvector,0.024215853000043808,1000,2991
BA,23,kcore,0.002553917000000183,1000,2991
BA,23,pagerank,0.004167497000025833,1000,2991
BA,24,betweenness,0.394344770000032,1000,2991
BA,24,collective_influence,0.020478663999995206,1000,2991
BA,24,community_bridge,0.7828755219999834,1000,2991
BA,24,degree,0.0007016970000108813,1000,2991
BA,24,eigenvector,0.07819012700002759,1000,2991
BA,24,kcore,0.0028785659999925883,1000,2991
BA,24,pagerank,0.004268789999969158,1000,2991
BA,25,betweenness,0.3159638349999909,1000,2991
BA,25,collective_influence,0.020890603999987434,1000,2991
BA,25,community_bridge,0.9821617799999558,1000,2991
BA,25,degree,0.0010873469999523877,1000,2991
BA,25,eigenvector,0.07961617600000181,1000,2991
BA,25,kcore,0.00301816600000393,1000,2991
BA,25,pagerank,0.004772277999961716,1000,2991
BA,26,betweenness,0.37045310500002415,1000,2991
BA,26,collective_influence,0.07279489100000092,1000,2991
BA,26,community_bridge,0.8194028160000357,1000,2991
BA,26,degree,0.000668947000008302,1000,2991
