topology,trial,family,beta,gamma,initial_spreaders,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
ER,5,beta_gamma,0.005,0.05,5,,,0.0,0.0,8.0,0.031,739.0,0.159,3853.0,3694.0,26.0,182.0,0.0
ER,5,beta_gamma,0.005,0.1,5,,,0.0,0.0,5.0,0.005,38.0,0.022,158.0,136.0,0.0,18.0,0.0
ER,5,beta_gamma,0.01,0.05,5,,,0.0,0.0,8.0,0.015,312.0,0.077,1613.0,1536.0,10.0,85.0,0.0
ER,5,beta_gamma,0.01,0.1,5,,,0.0,0.0,5.0,0.008,88.0,0.045,546.0,501.0,3.0,37.0,0.0
ER,5,beta_gamma,0.02,0.05,5,63.0,112.0,1.0,1.0,182.0,0.681,13380.0,0.971,33768.0,32797.0,676.0,352.0,0.0
ER,5,beta_gamma,0.02,0.1,5,64.0,,1.0,0.0,34.0,0.269,2970.0,0.798,12011.0,11213.0,264.0,187.0,0.0
ER,5,beta_gamma,0.05,0.05,5,15.0,27.0,1.0,1.0,459.0,0.935,19409.0,0.99,19049.0,18059.0,930.0,158.0,0.0
ER,5,beta_gamma,0.05,0.1,5,43.0,64.0,1.0,1.0,183.0,0.811,7831.0,0.979,16962.0,15983.0,806.0,186.0,0.0
ER,5,beta_gamma,0.15,0.05,5,6.0,10.0,1.0,1.0,709.0,0.989,19473.0,0.991,7408.0,6417.0,984.0,163.0,0.0
ER,5,beta_gamma,0.15,0.1,5,6.0,10.0,1.0,1.0,573.0,0.974,9885.0,0.99,6966.0,5976.0,969.0,102.0,0.0
ER,5,seed_count,0.15,0.05,1,8.0,12.0,1.0,1.0,709.0,0.988,20209.0,0.995,7271.0,6276.0,987.0,156.0,0.0
ER,5,seed_count,0.15,0.05,5,7.0,12.0,1.0,1.0,719.0,0.99,19921.0,0.991,7271.0,6280.0,985.0,178.0,0.0
ER,5,seed_count,0.15,0.05,10,5.0,9.0,1.0,1.0,727.0,0.99,20558.0,0.986,7553.0,6567.0,980.0,140.0,0.0
ER,1,beta_gamma,0.005,0.05,5,,,0.0,0.0,15.0,0.041,923.0,0.209,4502.0,4293.0,36.0,142.0,0.0
ER,1,beta_gamma,0.005,0.1,5,,,0.0,0.0,5.0,0.007,54.0,0.042,335.0,293.0,2.0,23.0,0.0
ER,1,beta_gamma,0.01,0.05,5,,,0.0,0.0,19.0,0.059,1224.0,0.286,5403.0,5117.0,54.0,126.0,0.0
ER,1,beta_gamma,0.01,0.1,5,,,0.0,0.0,6.0,0.007,43.0,0.037,215.0,178.0,2.0,14.0,0.0
ER,1,beta_gamma,0.02,0.05,5,57.0,135.0,1.0,1.0,130.0,0.684,13758.0,0.977,33998.0,33021.0,679.0,316.0,0.0
ER,1,beta_gamma,0.02,0.1,5,64.0,,1.0,0.0,21.0,0.268,2830.0,0.798,12107.0,11309.0,263.0,226.0,0.0
ER,1,beta_gamma,0.05,0.05,5,17.0,31.0,1.0,1.0,453.0,0.952,19247.0,0.989,19122.0,18133.0,947.0,173.0,0.0
ER,1,beta_gamma,0.05,0.1,5,19.0,38.0,1.0,1.0,197.0,0.819,8167.0,0.987,16190.0,15203.0,814.0,102.0,0.0
ER,1,beta_gamma,0.15,0.05,5,6.0,10.0,1.0,1.0,717.0,0.99,19066.0,0.991,7307.0,6316.0,985.0,151.0,0.0
ER,1,beta_gamma,0.15,0.1,5,7.0,11.0,1.0,1.0,575.0,0.973,9670.0,0.99,7358.0,6368.0,968.0,74.0,0.0
ER,1,seed_count,0.15,0.05,1,10.0,14.0,1.0,1.0,746.0,0.992,20804.0,0.995,7306.0,6311.0,991.0,157.0,0.0
ER,1,seed_count,0.15,0.05,5,5.0,10.0,1.0,1.0,719.0,0.992,19546.0,0.991,7406.0,6415.0,987.0,130.0,0.0
ER,1,seed_count,0.15,0.05,10,5.0,9.0,1.0,1.0,714.0,0.991,20264.0,0.986,7213.0,6227.0,981.0,128.0,0.0
ER,0,beta_gamma,0.005,0.05,5,,,0.0,0.0,7.0,0.008,194.0,0.045,1053.0,1008.0,3.0,64.0,0.0
ER,0,beta_gamma,0.005,0.1,5,,,0.0,0.0,5.0,0.006,56.0,0.028,261.0,233.0,1.0,19.0,0.0
ER,0,beta_gamma,0.01,0.05,5,,,0.0,0.0,5.0,0.006,99.0,0.02,221.0,201.0,1.0,58.0,0.0
ER,0,beta_gamma,0.01,0.1,5,,,0.0,0.0,6.0,0.01,77.0,0.059,392.0,333.0,5.0,20.0,0.0
ER,0,beta_gamma,0.02,0.05,5,59.0,107.0,1.0,1.0,164.0,0.696,13193.0,0.974,33198.0,32224.0,691.0,252.0,0.0
ER,0,beta_gamma,0.02,0.1,5,77.0,,1.0,0.0,36.0,0.169,1597.0,0.631,6837.0,6206.0,164.0,144.0,0.0
ER,0,beta_gamma,0.05,0.05,5,19.0,36.0,1.0,1.0,408.0,0.94,18111.0,0.99,20227.0,19237.0,935.0,187.0,0.0
ER,0,beta_gamma,0.05,0.1,5,22.0,43.0,1.0,1.0,238.0,0.819,8456.0,0.984,16460.0,15476.0,814.0,138.0,0.0
ER,0,beta_gamma,0.15,0.05,5,5.0,9.0,1.0,1.0,724.0,0.985,19052.0,0.991,7339.0,6348.0,980.0,125.0,0.0
ER,0,beta_gamma,0.15,0.1,5,7.0,11.0,1.0,1.0,567.0,0.969,9315.0,0.991,7005.0,6014.0,964.0,67.0,0.0
ER,0,seed_count,0.15,0.05,1,11.0,15.0,1.0,1.0,708.0,0.991,19480.0,0.996,7354.0,6358.0,990.0,193.0,0.0
ER,0,seed_count,0.15,0.05,5,6.0,10.0,1.0,1.0,705.0,0.99,19098.0,0.991,7678.0,6687.0,985.0,175.0,0.0
