topology,trial,beta,gamma,fraction,strategy,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
ER,5,0.01,0.05,0.05,random,,,0.0,0.0,9.0,0.05,1319.0,0.254,6262.0,6008.0,45.0,355.0,0.05
ER,5,0.01,0.05,0.05,degree,,,0.0,0.0,5.0,0.005,37.0,0.028,214.0,186.0,0.0,11.0,0.05
ER,5,0.01,0.05,0.05,betweenness,,,0.0,0.0,5.0,0.005,123.0,0.023,405.0,382.0,0.0,64.0,0.05
ER,5,0.01,0.05,0.05,kcore,,,0.0,0.0,6.0,0.018,376.0,0.069,1469.0,1400.0,13.0,158.0,0.05
ER,5,0.01,0.05,0.05,collective_influence,,,0.0,0.0,8.0,0.017,219.0,0.083,972.0,889.0,12.0,49.0,0.05
ER,5,0.01,0.05,0.05,community_bridge,,,0.0,0.0,16.0,0.051,1010.0,0.215,3914.0,3699.0,46.0,150.0,0.05
ER,5,0.02,0.05,0.05,random,45.0,156.0,1.0,1.0,85.0,0.59,11516.0,0.912,29178.0,28266.0,585.0,355.0,0.05
ER,5,0.02,0.05,0.05,degree,,,0.0,0.0,10.0,0.02,322.0,0.076,894.0,818.0,15.0,54.0,0.05
ER,5,0.02,0.05,0.05,betweenness,,,0.0,0.0,7.0,0.026,339.0,0.121,1328.0,1207.0,21.0,111.0,0.05
ER,5,0.02,0.05,0.05,kcore,66.0,191.0,1.0,1.0,90.0,0.535,10634.0,0.9,26245.0,25345.0,530.0,282.0,0.05
ER,5,0.02,0.05,0.05,collective_influence,83.0,227.0,1.0,1.0,91.0,0.551,11628.0,0.891,26415.0,25524.0,546.0,375.0,0.05
ER,5,0.02,0.05,0.05,community_bridge,49.0,157.0,1.0,1.0,95.0,0.559,11212.0,0.903,26727.0,25824.0,554.0,243.0,0.05
ER,5,0.05,0.05,0.05,random,14.0,31.0,1.0,1.0,415.0,0.907,18730.0,0.939,18454.0,17515.0,902.0,157.0,0.05
ER,5,0.05,0.05,0.05,degree,29.0,53.0,1.0,1.0,313.0,0.841,16371.0,0.933,18320.0,17387.0,836.0,256.0,0.05
ER,5,0.05,0.05,0.05,betweenness,18.0,36.0,1.0,1.0,349.0,0.87,17011.0,0.937,17921.0,16984.0,865.0,171.0,0.05
ER,5,0.05,0.05,0.05,kcore,20.0,39.0,1.0,1.0,374.0,0.871,18644.0,0.936,17110.0,16174.0,866.0,190.0,0.05
ER,5,0.05,0.05,0.05,collective_influence,22.0,41.0,1.0,1.0,370.0,0.867,17705.0,0.937,17365.0,16428.0,862.0,173.0,0.05
ER,5,0.05,0.05,0.05,community_bridge,15.0,32.0,1.0,1.0,390.0,0.877,18517.0,0.939,17764.0,16825.0,872.0,173.0,0.05
ER,5,0.15,0.05,0.05,random,6.0,10.0,1.0,1.0,661.0,0.932,17905.0,0.939,6869.0,5930.0,927.0,151.0,0.05
