family,value,topology,trial,beta,gamma,initial_spreaders,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
seed_count,1,ER,0,0.15,0.05,1,12.0,16.0,1.0,1.0,750.0,0.994,19230.0,0.997,7143.0,6146.0,993.0,153.0,0.0
seed_count,1,ER,0,0.02,0.05,1,,,0.0,0.0,2.0,0.002,12.0,0.011,73.0,62.0,1.0,9.0,0.0
seed_count,5,ER,0,0.15,0.05,5,6.0,10.0,1.0,1.0,734.0,0.989,19743.0,0.993,7449.0,6456.0,984.0,225.0,0.0
seed_count,5,ER,0,0.02,0.05,5,62.0,113.0,1.0,1.0,166.0,0.719,14485.0,0.979,36895.0,35916.0,714.0,277.0,0.0
seed_count,10,ER,0,0.15,0.05,10,4.0,8.0,1.0,1.0,741.0,0.986,19316.0,0.988,7274.0,6286.0,976.0,120.0,0.0
seed_count,10,ER,0,0.02,0.05,10,47.0,106.0,1.0,1.0,148.0,0.696,13545.0,0.974,34273.0,33299.0,686.0,269.0,0.0
seed_count,1,ER,1,0.15,0.05,1,9.0,13.0,1.0,1.0,706.0,0.992,19676.0,0.997,7608.0,6611.0,991.0,159.0,0.0
seed_count,1,ER,1,0.02,0.05,1,,,0.0,0.0,2.0,0.002,13.0,0.016,99.0,83.0,1.0,11.0,0.0
seed_count,5,ER,1,0.15,0.05,5,5.0,9.0,1.0,1.0,707.0,0.991,20342.0,0.993,7561.0,6568.0,986.0,209.0,0.0
seed_count,5,ER,1,0.02,0.05,5,43.0,94.0,1.0,1.0,150.0,0.695,13281.0,0.982,33644.0,32662.0,690.0,241.0,0.0
seed_count,10,ER,1,0.15,0.05,10,4.0,8.0,1.0,1.0,766.0,0.993,19618.0,0.988,7456.0,6468.0,983.0,139.0,0.0
seed_count,10,ER,1,0.02,0.05,10,38.0,117.0,1.0,1.0,125.0,0.649,12673.0,0.976,34268.0,33292.0,639.0,285.0,0.0
seed_count,1,ER,2,0.15,0.05,1,10.0,14.0,1.0,1.0,753.0,0.987,19210.0,0.996,7526.0,6530.0,986.0,149.0,0.0
seed_count,1,ER,2,0.02,0.05,1,,,0.0,0.0,1.0,0.001,5.0,0.003,15.0,12.0,0.0,5.0,0.0
seed_count,5,ER,2,0.15,0.05,5,6.0,10.0,1.0,1.0,740.0,0.993,20248.0,0.991,7530.0,6539.0,988.0,150.0,0.0
seed_count,5,ER,2,0.02,0.05,5,87.0,144.0,1.0,1.0,165.0,0.7,13793.0,0.987,33782.0,32795.0,695.0,288.0,0.0
seed_count,10,ER,2,0.15,0.05,10,4.0,8.0,1.0,1.0,741.0,0.987,19950.0,0.986,7606.0,6620.0,977.0,143.0,0.0
seed_count,10,ER,2,0.02,0.05,10,45.0,108.0,1.0,1.0,152.0,0.69,13724.0,0.97,36022.0,35052.0,680.0,238.0,0.0
seed_count,1,ER,3,0.15,0.05,1,9.0,13.0,1.0,1.0,731.0,0.994,18636.0,0.998,7637.0,6639.0,993.0,145.0,0.0
seed_count,1,ER,3,0.02,0.05,1,86.0,131.0,1.0,1.0,208.0,0.746,15584.0,0.99,36861.0,35871.0,745.0,365.0,0.0
seed_count,5,ER,3,0.15,0.05,5,6.0,10.0,1.0,1.0,725.0,0.988,19513.0,0.994,7492.0,6498.0,983.0,218.0,0.0
seed_count,5,ER,3,0.02,0.05,5,64.0,117.0,1.0,1.0,171.0,0.757,16119.0,0.988,38528.0,37540.0,752.0,276.0,0.0
seed_count,10,ER,3,0.15,0.05,10,5.0,9.0,1.0,1.0,742.0,0.991,19821.0,0.989,7538.0,6549.0,981.0,153.0,0.0
seed_count,10,ER,3,0.02,0.05,10,28.0,80.0,1.0,1.0,162.0,0.698,14058.0,0.978,35793.0,34815.0,688.0,244.0,0.0
seed_count,1,ER,4,0.15,0.05,1,12.0,16.0,1.0,1.0,724.0,0.997,19780.0,0.997,7314.0,6317.0,996.0,160.0,0.0
seed_count,1,ER,4,0.02,0.05,1,,,0.0,0.0,2.0,0.002,25.0,0.012,156.0,144.0,1.0,20.0,0.0
seed_count,5,ER,4,0.15,0.05,5,5.0,9.0,1.0,1.0,737.0,0.99,19617.0,0.993,7471.0,6478.0,985.0,134.0,0.0
seed_count,5,ER,4,0.02,0.05,5,34.0,78.0,1.0,1.0,185.0,0.729,14911.0,0.985,34890.0,33905.0,724.0,227.0,0.0
seed_count,10,ER,4,0.15,0.05,10,4.0,8.0,1.0,1.0,748.0,0.996,20084.0,0.988,7476.0,6488.0,986.0,157.0,0.0
seed_count,10,ER,4,0.02,0.05,10,35.0,87.0,1.0,1.0,162.0,0.743,14420.0,0.976,36260.0,35284.0,733.0,214.0,0.0
seed_count,1,ER,6,0.15,0.05,1,13.0,18.0,1.0,1.0,727.0,0.982,19650.0,0.992,7435.0,6443.0,981.0,176.0,0.0
seed_count,1,ER,6,0.02,0.05,1,78.0,137.0,1.0,1.0,153.0,0.717,14377.0,0.977,33648.0,32671.0,716.0,336.0,0.0
seed_count,5,ER,6,0.15,0.05,5,6.0,10.0,1.0,1.0,719.0,0.986,19720.0,0.988,6839.0,5851.0,981.0,144.0,0.0
seed_count,5,ER,6,0.02,0.05,5,53.0,131.0,1.0,1.0,110.0,0.658,12351.0,0.965,33078.0,32113.0,653.0,231.0,0.0
seed_count,10,ER,6,0.15,0.05,10,5.0,10.0,1.0,1.0,734.0,0.989,19701.0,0.985,7430.0,6445.0,979.0,135.0,0.0
seed_count,10,ER,6,0.02,0.05,10,36.0,90.0,1.0,1.0,161.0,0.667,13724.0,0.965,33175.0,32210.0,657.0,221.0,0.0
seed_count,1,ER,5,0.15,0.05,1,7.0,10.0,1.0,1.0,741.0,0.988,19710.0,0.999,7106.0,6107.0,987.0,146.0,0.0
seed_count,1,ER,5,0.02,0.05,1,50.0,115.0,1.0,1.0,140.0,0.699,14367.0,0.99,35348.0,34358.0,698.0,305.0,0.0
seed_count,5,ER,5,0.15,0.05,5,7.0,10.0,1.0,1.0,709.0,0.99,20081.0,0.995,7439.0,6444.0,985.0,191.0,0.0
seed_count,5,ER,5,0.02,0.05,5,51.0,103.0,1.0,1.0,150.0,0.693,13507.0,0.977,34150.0,33173.0,688.0,251.0,0.0
seed_count,10,ER,5,0.15,0.05,10,5.0,9.0,1.0,1.0,733.0,0.994,19884.0,0.99,7500.0,6510.0,984.0,135.0,0.0
seed_count,10,ER,5,0.02,0.05,10,92.0,199.0,1.0,1.0,117.0,0.689,13902.0,0.973,34890.0,33917.0,679.0,389.0,0.0
seed_count,1,ER,7,0.15,0.05,1,8.0,12.0,1.0,1.0,731.0,0.992,20820.0,0.997,7277.0,6280.0,991.0,171.0,0.0
seed_count,1,ER,7,0.02,0.05,1,,,0.0,0.0,3.0,0.006,98.0,0.024,357.0,333.0,5.0,52.0,0.0
seed_count,5,ER,7,0.15,0.05,5,5.0,9.0,1.0,1.0,750.0,0.995,19788.0,0.993,7598.0,6605.0,990.0,131.0,0.0
seed_count,5,ER,7,0.02,0.05,5,64.0,125.0,1.0,1.0,153.0,0.69,14908.0,0.981,38500.0,37519.0,685.0,253.0,0.0
seed_count,10,ER,7,0.15,0.05,10,5.0,9.0,1.0,1.0,736.0,0.993,19446.0,0.988,7228.0,6240.0,983.0,148.0,0.0
seed_count,10,ER,7,0.02,0.05,10,30.0,72.0,1.0,1.0,201.0,0.776,16068.0,0.984,35330.0,34346.0,766.0,290.0,0.0
seed_count,1,ER,9,0.15,0.05,1,14.0,18.0,1.0,1.0,726.0,0.994,20595.0,0.999,7641.0,6642.0,993.0,146.0,0.0
seed_count,1,ER,9,0.02,0.05,1,127.0,177.0,1.0,1.0,169.0,0.718,14036.0,0.991,34811.0,33820.0,717.0,375.0,0.0
seed_count,5,ER,9,0.15,0.05,5,5.0,9.0,1.0,1.0,708.0,0.99,19286.0,0.995,7312.0,6317.0,985.0,136.0,0.0
seed_count,5,ER,9,0.02,0.05,5,72.0,127.0,1.0,1.0,166.0,0.735,14764.0,0.982,37749.0,36767.0,730.0,318.0,0.0
seed_count,10,ER,9,0.15,0.05,10,5.0,9.0,1.0,1.0,746.0,0.994,21595.0,0.99,7450.0,6460.0,984.0,215.0,0.0
seed_count,10,ER,9,0.02,0.05,10,51.0,103.0,1.0,1.0,174.0,0.761,16227.0,0.981,37471.0,36490.0,751.0,256.0,0.0
seed_count,1,ER,8,0.15,0.05,1,12.0,15.0,1.0,1.0,744.0,0.985,20750.0,0.997,7431.0,6434.0,984.0,290.0,0.0
seed_count,1,ER,8,0.02,0.05,1,52.0,99.0,1.0,1.0,202.0,0.778,16374.0,0.996,38408.0,37412.0,777.0,227.0,0.0
seed_count,5,ER,8,0.15,0.05,5,5.0,9.0,1.0,1.0,751.0,0.99,19684.0,0.993,7248.0,6255.0,985.0,130.0,0.0
seed_count,5,ER,8,0.02,0.05,5,26.0,72.0,1.0,1.0,170.0,0.724,14591.0,0.983,33927.0,32944.0,719.0,250.0,0.0
seed_count,10,ER,8,0.15,0.05,10,5.0,8.0,1.0,1.0,745.0,0.993,20120.0,0.988,7274.0,6286.0,983.0,136.0,0.0
seed_count,10,ER,8,0.02,0.05,10,45.0,110.0,1.0,1.0,136.0,0.693,13339.0,0.979,34200.0,33221.0,683.0,249.0,0.0
seed_count,1,ER,10,0.15,0.05,1,21.0,26.0,1.0,1.0,718.0,0.992,19514.0,0.994,7457.0,6463.0,991.0,180.0,0.0
seed_count,1,ER,10,0.02,0.05,1,121.0,198.0,1.0,1.0,126.0,0.64,12294.0,0.975,31885.0,30910.0,639.0,388.0,0.0
seed_count,5,ER,10,0.15,0.05,5,7.0,10.0,1.0,1.0,736.0,0.99,19924.0,0.99,6995.0,6005.0,985.0,142.0,0.0
