family,value,topology,trial,beta,gamma,fraction,strategy,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
seed_count,1,ER,0,0.15,0.05,0.05,random,8.0,12.0,1.0,1.0,680.0,0.939,18197.0,0.947,6968.0,6021.0,938.0,182.0,0.05
seed_count,1,ER,0,0.15,0.05,0.05,degree,10.0,15.0,1.0,1.0,648.0,0.931,19228.0,0.941,6806.0,5865.0,930.0,209.0,0.05
seed_count,1,ER,0,0.15,0.05,0.05,betweenness,11.0,15.0,1.0,1.0,648.0,0.927,17708.0,0.941,6614.0,5673.0,926.0,146.0,0.05
seed_count,1,ER,0,0.15,0.05,0.05,pagerank,7.0,12.0,1.0,1.0,626.0,0.938,18599.0,0.943,6449.0,5506.0,937.0,133.0,0.05
seed_count,1,ER,0,0.15,0.05,0.05,eigenvector,10.0,15.0,1.0,1.0,661.0,0.944,18678.0,0.946,6868.0,5922.0,943.0,136.0,0.05
seed_count,1,ER,0,0.15,0.05,0.05,kcore,13.0,17.0,1.0,1.0,676.0,0.932,18545.0,0.943,6817.0,5874.0,931.0,162.0,0.05
seed_count,1,ER,0,0.15,0.05,0.05,collective_influence,15.0,20.0,1.0,1.0,655.0,0.935,19358.0,0.946,6936.0,5990.0,934.0,172.0,0.05
seed_count,1,ER,0,0.15,0.05,0.05,community_bridge,14.0,19.0,1.0,1.0,646.0,0.939,18824.0,0.946,7189.0,6243.0,938.0,149.0,0.05
seed_count,1,ER,0,0.02,0.05,0.05,random,,,0.0,0.0,1.0,0.001,5.0,0.004,20.0,16.0,0.0,5.0,0.05
seed_count,1,ER,0,0.02,0.05,0.05,degree,,,0.0,0.0,1.0,0.001,10.0,0.008,80.0,72.0,0.0,10.0,0.05
seed_count,1,ER,0,0.02,0.05,0.05,betweenness,82.0,185.0,1.0,1.0,96.0,0.583,11574.0,0.918,28915.0,27997.0,582.0,392.0,0.05
seed_count,1,ER,0,0.02,0.05,0.05,pagerank,,,0.0,0.0,1.0,0.001,2.0,0.008,16.0,8.0,0.0,2.0,0.05
seed_count,1,ER,0,0.02,0.05,0.05,eigenvector,49.0,148.0,1.0,1.0,109.0,0.546,10955.0,0.899,27271.0,26372.0,545.0,251.0,0.05
seed_count,1,ER,0,0.02,0.05,0.05,kcore,,,0.0,0.0,2.0,0.004,36.0,0.024,194.0,170.0,3.0,26.0,0.05
seed_count,1,ER,0,0.02,0.05,0.05,collective_influence,,,0.0,0.0,2.0,0.002,22.0,0.007,73.0,66.0,1.0,16.0,0.05
seed_count,1,ER,0,0.02,0.05,0.05,community_bridge,,,0.0,0.0,1.0,0.001,5.0,0.007,35.0,28.0,0.0,5.0,0.05
seed_count,5,ER,0,0.15,0.05,0.05,random,6.0,10.0,1.0,1.0,667.0,0.937,17941.0,0.943,6932.0,5989.0,932.0,185.0,0.05
seed_count,5,ER,0,0.15,0.05,0.05,degree,8.0,12.0,1.0,1.0,624.0,0.928,18150.0,0.938,6889.0,5951.0,923.0,157.0,0.05
seed_count,5,ER,0,0.15,0.05,0.05,betweenness,7.0,12.0,1.0,1.0,649.0,0.937,18437.0,0.939,7096.0,6157.0,932.0,158.0,0.05
