topology,trial,seed_mode,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
ER,5,random,7.0,11.0,1.0,1.0,714.0,0.983,20109.0,0.99,7199.0,6209.0,978.0,181.0,0.0
ER,5,high_degree,4.0,9.0,1.0,1.0,735.0,0.986,21349.0,0.99,7455.0,6465.0,981.0,136.0,0.0
ER,5,bridge,4.0,9.0,1.0,1.0,724.0,0.99,19463.0,0.991,7313.0,6322.0,985.0,160.0,0.0
ER,5,peripheral,15.0,19.0,1.0,1.0,699.0,0.99,18817.0,0.993,7075.0,6082.0,985.0,152.0,0.0
ER,1,random,6.0,10.0,1.0,1.0,735.0,0.982,18985.0,0.991,7063.0,6072.0,977.0,152.0,0.0
ER,1,high_degree,4.0,8.0,1.0,1.0,737.0,0.992,21253.0,0.991,7285.0,6294.0,987.0,245.0,0.0
ER,1,bridge,4.0,8.0,1.0,1.0,738.0,0.989,20003.0,0.991,7283.0,6292.0,984.0,148.0,0.0
ER,1,peripheral,9.0,13.0,1.0,1.0,711.0,0.987,19214.0,0.995,7217.0,6222.0,982.0,161.0,0.0
ER,0,random,8.0,12.0,1.0,1.0,736.0,0.988,19552.0,0.992,7575.0,6583.0,983.0,136.0,0.0
ER,0,high_degree,4.0,8.0,1.0,1.0,716.0,0.989,18951.0,0.992,7419.0,6427.0,984.0,167.0,0.0
ER,0,bridge,5.0,9.0,1.0,1.0,703.0,0.993,19764.0,0.992,7309.0,6317.0,988.0,178.0,0.0
ER,0,peripheral,11.0,15.0,1.0,1.0,722.0,0.996,19612.0,0.995,7233.0,6238.0,991.0,184.0,0.0
ER,2,random,5.0,9.0,1.0,1.0,746.0,0.991,20389.0,0.993,7225.0,6232.0,986.0,160.0,0.0
ER,2,high_degree,5.0,8.0,1.0,1.0,746.0,0.994,20618.0,0.993,7231.0,6238.0,989.0,151.0,0.0
ER,2,bridge,4.0,8.0,1.0,1.0,715.0,0.995,19567.0,0.993,7493.0,6500.0,990.0,127.0,0.0
ER,2,peripheral,7.0,11.0,1.0,1.0,754.0,0.997,21623.0,0.995,7239.0,6244.0,992.0,189.0,0.0
ER,3,random,6.0,10.0,1.0,1.0,725.0,0.996,20420.0,0.994,7455.0,6461.0,991.0,160.0,0.0
ER,3,high_degree,4.0,8.0,1.0,1.0,713.0,0.991,19874.0,0.994,7651.0,6657.0,986.0,151.0,0.0
ER,3,bridge,4.0,8.0,1.0,1.0,750.0,0.987,20942.0,0.994,7393.0,6399.0,982.0,160.0,0.0
ER,3,peripheral,9.0,13.0,1.0,1.0,747.0,0.994,20750.0,0.995,7290.0,6295.0,989.0,167.0,0.0
ER,4,random,8.0,13.0,1.0,1.0,724.0,0.987,20284.0,0.993,7557.0,6564.0,982.0,152.0,0.0
