family,value,topology,trial,beta,gamma,fraction,strategy,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
n,500,ER,0,0.02,0.05,0.05,random,60.0,121.0,1.0,1.0,81.0,0.668,7277.0,0.926,17871.0,17408.0,329.0,288.0,0.05
n,500,ER,0,0.02,0.05,0.05,degree,50.0,,1.0,0.0,40.0,0.496,4864.0,0.868,12534.0,12100.0,243.0,280.0,0.05
n,500,ER,0,0.02,0.05,0.05,betweenness,38.0,152.0,1.0,1.0,48.0,0.592,6195.0,0.902,13592.0,13141.0,291.0,255.0,0.05
n,500,ER,0,0.02,0.05,0.05,pagerank,83.0,319.0,1.0,1.0,39.0,0.614,6247.0,0.91,14253.0,13798.0,302.0,489.0,0.05
n,500,ER,0,0.02,0.05,0.05,eigenvector,29.0,168.0,1.0,1.0,33.0,0.594,5834.0,0.916,14157.0,13699.0,292.0,352.0,0.05
n,500,ER,0,0.02,0.05,0.05,kcore,43.0,141.0,1.0,1.0,68.0,0.57,5494.0,0.906,14172.0,13719.0,280.0,245.0,0.05
n,500,ER,0,0.02,0.05,0.05,collective_influence,63.0,,1.0,0.0,32.0,0.43,4101.0,0.854,12179.0,11752.0,210.0,288.0,0.05
n,500,ER,0,0.02,0.05,0.05,community_bridge,52.0,128.0,1.0,1.0,62.0,0.608,6002.0,0.908,14317.0,13863.0,299.0,234.0,0.05
n,500,ER,1,0.02,0.05,0.05,random,32.0,116.0,1.0,1.0,54.0,0.616,6112.0,0.92,14752.0,14292.0,303.0,251.0,0.05
n,500,ER,1,0.02,0.05,0.05,degree,82.0,,1.0,0.0,26.0,0.346,3414.0,0.802,9395.0,8994.0,168.0,257.0,0.05
n,500,ER,1,0.02,0.05,0.05,betweenness,51.0,159.0,1.0,1.0,72.0,0.518,5121.0,0.886,13162.0,12719.0,254.0,215.0,0.05
n,500,ER,1,0.02,0.05,0.05,pagerank,44.0,134.0,1.0,1.0,67.0,0.594,6400.0,0.902,14245.0,13794.0,292.0,253.0,0.05
n,500,ER,1,0.02,0.05,0.05,eigenvector,122.0,263.0,1.0,1.0,51.0,0.63,6554.0,0.91,14654.0,14199.0,310.0,500.0,0.05
n,500,ER,1,0.02,0.05,0.05,kcore,56.0,395.0,1.0,1.0,30.0,0.5,4884.0,0.884,12824.0,12382.0,245.0,407.0,0.05
n,500,ER,1,0.02,0.05,0.05,collective_influence,42.0,158.0,1.0,1.0,49.0,0.536,5419.0,0.902,13209.0,12758.0,263.0,227.0,0.05
n,500,ER,1,0.02,0.05,0.05,community_bridge,45.0,,1.0,0.0,34.0,0.484,4909.0,0.854,12145.0,11718.0,237.0,297.0,0.05
n,500,ER,2,0.02,0.05,0.05,random,56.0,107.0,1.0,1.0,85.0,0.664,6515.0,0.93,17207.0,16742.0,327.0,282.0,0.05
n,500,ER,2,0.02,0.05,0.05,degree,80.0,186.0,1.0,1.0,59.0,0.536,5534.0,0.902,14404.0,13953.0,263.0,287.0,0.05
n,500,ER,2,0.02,0.05,0.05,betweenness,88.0,231.0,1.0,1.0,40.0,0.538,5056.0,0.896,13413.0,12965.0,264.0,388.0,0.05
n,500,ER,2,0.02,0.05,0.05,pagerank,65.0,256.0,1.0,1.0,36.0,0.502,4750.0,0.884,11873.0,11431.0,246.0,278.0,0.05
n,500,ER,2,0.02,0.05,0.05,eigenvector,40.0,101.0,1.0,1.0,80.0,0.658,7500.0,0.93,17849.0,17384.0,324.0,221.0,0.05
n,500,ER,2,0.02,0.05,0.05,kcore,36.0,80.0,1.0,1.0,87.0,0.664,6752.0,0.928,14398.0,13934.0,327.0,277.0,0.05
