family,value,topology,trial,beta,gamma,fraction,strategy,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
sbm_mixing,0.02,SBM,3,0.15,0.05,0.05,random,6.0,11.0,1.0,1.0,591.0,0.932,18482.0,0.94,6948.0,6008.0,927.0,151.0,0.05
sbm_mixing,0.02,SBM,3,0.15,0.05,0.05,degree,7.0,13.0,1.0,1.0,634.0,0.925,19008.0,0.937,6847.0,5910.0,920.0,157.0,0.05
sbm_mixing,0.02,SBM,3,0.15,0.05,0.05,betweenness,7.0,12.0,1.0,1.0,603.0,0.932,17936.0,0.939,7056.0,6117.0,927.0,232.0,0.05
sbm_mixing,0.02,SBM,3,0.15,0.05,0.05,pagerank,7.0,12.0,1.0,1.0,666.0,0.933,19693.0,0.938,6981.0,6043.0,928.0,159.0,0.05
sbm_mixing,0.02,SBM,3,0.15,0.05,0.05,eigenvector,6.0,11.0,1.0,1.0,587.0,0.932,19144.0,0.939,6804.0,5865.0,927.0,141.0,0.05
sbm_mixing,0.02,SBM,3,0.15,0.05,0.05,kcore,8.0,13.0,1.0,1.0,628.0,0.936,18508.0,0.938,6951.0,6013.0,931.0,200.0,0.05
sbm_mixing,0.02,SBM,3,0.15,0.05,0.05,collective_influence,7.0,12.0,1.0,1.0,635.0,0.931,17940.0,0.94,6576.0,5636.0,926.0,158.0,0.05
sbm_mixing,0.02,SBM,3,0.15,0.05,0.05,community_bridge,8.0,14.0,1.0,1.0,653.0,0.939,18841.0,0.938,6977.0,6039.0,934.0,169.0,0.05
sbm_mixing,0.02,SBM,3,0.02,0.05,0.05,random,77.0,,1.0,0.0,60.0,0.328,6517.0,0.545,17354.0,16809.0,323.0,288.0,0.05
sbm_mixing,0.02,SBM,3,0.02,0.05,0.05,degree,64.0,,1.0,0.0,47.0,0.393,7352.0,0.797,20773.0,19976.0,388.0,350.0,0.05
sbm_mixing,0.02,SBM,3,0.02,0.05,0.05,betweenness,63.0,232.0,1.0,1.0,76.0,0.542,9709.0,0.908,26193.0,25285.0,537.0,341.0,0.05
sbm_mixing,0.02,SBM,3,0.02,0.05,0.05,pagerank,130.0,,1.0,0.0,44.0,0.39,8050.0,0.68,19401.0,18721.0,385.0,500.0,0.05
sbm_mixing,0.02,SBM,3,0.02,0.05,0.05,eigenvector,70.0,,1.0,0.0,77.0,0.484,9283.0,0.804,25792.0,24988.0,479.0,323.0,0.05
sbm_mixing,0.02,SBM,3,0.02,0.05,0.05,kcore,70.0,,1.0,0.0,37.0,0.294,5612.0,0.587,15357.0,14770.0,289.0,259.0,0.05
sbm_mixing,0.02,SBM,3,0.02,0.05,0.05,collective_influence,,,0.0,0.0,6.0,0.007,113.0,0.028,422.0,394.0,2.0,32.0,0.05
sbm_mixing,0.02,SBM,3,0.02,0.05,0.05,community_bridge,58.0,,1.0,0.0,67.0,0.495,10147.0,0.721,22867.0,22146.0,490.0,366.0,0.05
sbm_mixing,0.02,SBM,0,0.15,0.05,0.05,random,6.0,11.0,1.0,1.0,623.0,0.943,18498.0,0.944,6871.0,5927.0,938.0,148.0,0.05
