family,value,topology,trial,beta,gamma,fraction,strategy,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
ws_rewire,0.01,WS,1,0.15,0.05,0.05,random,11.0,52.0,1.0,1.0,261.0,0.947,19450.0,0.945,7135.0,6190.0,942.0,195.0,0.05
ws_rewire,0.01,WS,1,0.15,0.05,0.05,degree,11.0,64.0,1.0,1.0,163.0,0.79,15488.0,0.788,5975.0,5187.0,785.0,332.0,0.05
ws_rewire,0.01,WS,1,0.15,0.05,0.05,betweenness,11.0,66.0,1.0,1.0,150.0,0.577,10385.0,0.581,4317.0,3736.0,572.0,155.0,0.05
ws_rewire,0.01,WS,1,0.15,0.05,0.05,pagerank,16.0,,1.0,0.0,100.0,0.311,5505.0,0.32,2259.0,1939.0,306.0,193.0,0.05
ws_rewire,0.01,WS,1,0.15,0.05,0.05,eigenvector,10.0,37.0,1.0,1.0,258.0,0.95,19916.0,0.945,7134.0,6189.0,945.0,204.0,0.05
ws_rewire,0.01,WS,1,0.15,0.05,0.05,kcore,16.0,90.0,1.0,1.0,136.0,0.843,17841.0,0.846,6466.0,5620.0,838.0,341.0,0.05
ws_rewire,0.01,WS,1,0.15,0.05,0.05,collective_influence,12.0,122.0,1.0,1.0,105.0,0.701,13687.0,0.702,5341.0,4639.0,696.0,426.0,0.05
ws_rewire,0.01,WS,1,0.15,0.05,0.05,community_bridge,14.0,89.0,1.0,1.0,129.0,0.649,12919.0,0.647,4797.0,4150.0,644.0,210.0,0.05
ws_rewire,0.01,WS,1,0.02,0.05,0.05,random,,,0.0,0.0,18.0,0.042,899.0,0.072,1775.0,1703.0,37.0,131.0,0.05
ws_rewire,0.01,WS,1,0.02,0.05,0.05,degree,,,0.0,0.0,11.0,0.022,449.0,0.04,1103.0,1063.0,17.0,105.0,0.05
ws_rewire,0.01,WS,1,0.02,0.05,0.05,betweenness,,,0.0,0.0,8.0,0.011,75.0,0.041,354.0,313.0,6.0,30.0,0.05
ws_rewire,0.01,WS,1,0.02,0.05,0.05,pagerank,,,0.0,0.0,18.0,0.038,804.0,0.061,1679.0,1618.0,33.0,110.0,0.05
ws_rewire,0.01,WS,1,0.02,0.05,0.05,eigenvector,,,0.0,0.0,10.0,0.032,516.0,0.066,1566.0,1500.0,27.0,89.0,0.05
ws_rewire,0.01,WS,1,0.02,0.05,0.05,kcore,,,0.0,0.0,20.0,0.037,704.0,0.065,1554.0,1489.0,32.0,115.0,0.05
ws_rewire,0.01,WS,1,0.02,0.05,0.05,collective_influence,,,0.0,0.0,21.0,0.063,1293.0,0.092,2642.0,2550.0,58.0,108.0,0.05
ws_rewire,0.01,WS,1,0.02,0.05,0.05,community_bridge,,,0.0,0.0,15.0,0.035,697.0,0.054,1418.0,1364.0,30.0,106.0,0.05
