topology,trial,strategy,fraction,remaining_nodes,remaining_edges,components_after,lcc_fraction_original_n,incident_edges_blocked,incident_edge_fraction,cross_community_edges_blocked,approx_mean_path_after,protected_mean_degree
BA,0,betweenness,0.01,990,2384,4,0.987,607,0.20294215981277164,398,2.9157894736842107,62.9
BA,0,betweenness,0.05,950,1700,15,0.934,1291,0.4316282179872952,822,4.1,28.42
BA,0,betweenness,0.1,900,1290,36,0.858,1701,0.5687061183550652,1052,5.621052631578947,19.58
BA,0,collective_influence,0.01,990,2371,3,0.988,620,0.20728853226345703,409,2.9526315789473685,64.0
BA,0,collective_influence,0.05,950,1638,20,0.928,1353,0.45235707121364094,875,4.636842105263158,29.76
BA,0,collective_influence,0.1,900,1206,52,0.84,1785,0.59679037111334,1111,6.589473684210526,20.65
BA,0,community_bridge,0.01,990,2375,3,0.988,616,0.20595118689401537,421,2.7736842105263158,63.2
BA,0,community_bridge,0.05,950,1619,21,0.928,1372,0.4587094617184888,902,4.747368421052632,29.96
BA,0,community_bridge,0.1,900,1183,53,0.837,1808,0.6044801069876296,1153,6.6947368421052635,20.8
BA,0,degree,0.01,990,2368,3,0.988,623,0.20829154129053828,412,2.931578947368421,64.2
BA,0,degree,0.05,950,1613,20,0.929,1378,0.46071547977265126,899,4.747368421052632,30.1
BA,0,degree,0.1,900,1167,55,0.837,1824,0.6098294884653962,1147,6.910526315789474,20.97
BA,0,eigenvector,0.01,990,2377,3,0.988,614,0.20528251420929455,403,2.873684210526316,63.5
BA,0,eigenvector,0.05,950,1845,9,0.939,1146,0.3831494483450351,725,3.6,25.66
BA,0,eigenvector,0.1,900,1468,22,0.877,1523,0.5091942494149114,940,4.457894736842105,17.99
BA,0,kcore,0.01,990,2368,3,0.988,623,0.20829154129053828,412,2.931578947368421,64.2
BA,0,kcore,0.05,950,1613,20,0.929,1378,0.46071547977265126,899,4.747368421052632,30.1
BA,0,kcore,0.1,900,1167,55,0.837,1824,0.6098294884653962,1147,6.910526315789474,20.97
BA,0,pagerank,0.01,990,2368,3,0.988,623,0.20829154129053828,412,2.931578947368421,64.2
BA,0,pagerank,0.05,950,1613,20,0.929,1378,0.46071547977265126,899,4.747368421052632,30.1
BA,0,pagerank,0.1,900,1167,58,0.834,1824,0.6098294884653962,1146,6.910526315789474,20.97
BA,0,random,0.01,990,2953,1,0.99,38,0.012704781009695755,19,1.8,3.8
BA,0,random,0.05,950,2722,1,0.95,269,0.08993647609495152,134,1.8263157894736841,5.44
BA,0,random,0.1,900,2454,1,0.9,537,0.17953861584754263,263,1.868421052631579,5.56
BA,1,betweenness,0.01,990,2488,1,0.99,503,0.16817118020728852,315,2.705263157894737,52.4
BA,1,betweenness,0.05,950,1761,16,0.934,1230,0.4112337011033099,766,3.973684210526316,27.24
BA,1,betweenness,0.1,900,1354,39,0.858,1637,0.5473085924439987,996,5.021052631578947,19.0
BA,1,collective_influence,0.01,990,2486,2,0.989,505,0.16883985289200937,318,2.7157894736842105,52.6
BA,1,collective_influence,0.05,950,1743,21,0.928,1248,0.4172517552657974,782,4.157894736842105,27.7
BA,1,collective_influence,0.1,900,1259,53,0.839,1732,0.5790705449682381,1057,5.815789473684211,20.1
BA,1,community_bridge,0.01,990,2485,4,0.987,506,0.16917418923436978,322,2.594736842105263,52.1
BA,1,community_bridge,0.05,950,1735,18,0.931,1256,0.4199264460046807,799,3.8789473684210525,27.74
BA,1,community_bridge,0.1,900,1235,59,0.831,1756,0.587094617184888,1084,5.847368421052631,20.21
BA,1,degree,0.01,990,2482,3,0.988,509,0.17017719826145103,317,2.705263157894737,52.8
BA,1,degree,0.05,950,1728,23,0.926,1263,0.4222668004012036,792,3.931578947368421,27.9
BA,1,degree,0.1,900,1218,60,0.828,1773,0.5927783350050151,1072,6.252631578947368,20.35
BA,1,eigenvector,0.01,990,2498,1,0.99,493,0.16482781678368438,306,2.789473684210526,51.6
BA,1,eigenvector,0.05,950,1882,12,0.937,1109,0.3707790036776998,677,3.642105263157895,24.96
